"","Measurement Year","Measure Name","Statewide Average","Medical Group Name","Clinic Name","Clinic City","Clinic Zip Code","Denominator","Actual Rate","Expected Rate","Healthscore Rating","County","Metropolitan.Micropolitan.Statistical.Area","FIPS.County.Code","police_score","sk2014","total_covid_count21","Days.with.AQI","Good.Days","Unhealthy.Days","Max.AQI","Median.AQI","educ_pct"
"22",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - West St. Paul","West St. Paul",55118,38,0.2895,0.3747,"Expected","Dakota","Metropolitan Statistical Area",37,52,-0.279111224164893,17626295,365,303,2,155,30,43.6
"23",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Allina Health","Allina Health - Woodbury","Woodbury",55125,93,0.4839,0.4106,"Expected","Washington","Metropolitan Statistical Area",163,65,-0.291123605964394,10461619,227,205,0,119,35,48.8
"24",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Alluma","Alluma","Crookston",56716,53,0.3019,0.3794,"Expected","Polk","Metropolitan Statistical Area",119,59,1.87463817141636,1540407,NA,NA,NA,NA,NA,NA
"25",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Alomere Health","Alexandria Clinic, A Service of Alomere Health","Alexandria",56308,63,0.5714,0.3973,"Above Expected","Douglas","Micropolitan Statistical Area",41,50,1.66477479527212,1890159,NA,NA,NA,NA,NA,NA
"26",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Amery Hospital and Clinic","AHC - Amery","Amery",54001,31,0.4194,0.3726,"Expected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Associated Clinic of Psychology","Associated Clinic of Psychology-Apple Valley","Apple Valley",55124,57,0.2807,0.4076,"Expected","Dakota","Metropolitan Statistical Area",37,60,-0.279111224164893,17626295,365,303,2,155,30,43.6
"28",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"CentraCare Health","Carris Health - Willmar Main Clinic","Willmar",56201,83,0.3614,0.3574,"Expected","Kandiyohi","Micropolitan Statistical Area",67,49,1.13552338539996,2599318,NA,NA,NA,NA,NA,NA
"29",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"CentraCare Health","CentraCare Clinic - Big Lake","Big Lake",55309,31,0.6129,0.3872,"Expected","Sherburne","Metropolitan Statistical Area",141,55,-0.303842598457984,4589038,NA,NA,NA,NA,NA,25.8
"30",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"CentraCare Health","Centracare Clinic - SCMG Northwest","St. Cloud",56303,73,0.4521,0.3748,"Expected","Stearns","Metropolitan Statistical Area",145,45,0.455057286992888,8725973,362,289,2,228,36,28
"31",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"CentraCare Health","Centracare Clinic - SCMG St. Cloud Medical Group â€“ South","St. Cloud",56301,30,0.3667,0.3967,"Expected","Stearns","Metropolitan Statistical Area",145,45,0.455057286992888,8725973,362,289,2,228,36,28
"32",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"CentraCare Health","CentraCare Health Plaza - Pediatrics","St. Cloud",56303,69,0.4783,0.3855,"Expected","Stearns","Metropolitan Statistical Area",145,45,0.455057286992888,8725973,362,289,2,228,36,28
"33",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"CentraCare Health","St Cloud Hospital - Behavioral Health Clinic","St Cloud",56303,389,0.5707,0.3773,"Above Expected","Stearns","Metropolitan Statistical Area",145,NA,0.455057286992888,8725973,362,289,2,228,36,28
"34",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Children's Minnesota","Children's MN Partners in Pediatrics Brooklyn Park","Brooklyn Park",55443,47,0.4043,0.4003,"Expected","Hennepin","Metropolitan Statistical Area",53,49,0.450817622828358,47554264,365,263,3,155,39,53.2
"35",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Children's Minnesota","Children's MN Partners in Pediatrics Maple Grove","Maple Grove",55369,75,0.4267,0.4112,"Expected","Hennepin","Metropolitan Statistical Area",53,62,0.450817622828358,47554264,365,263,3,155,39,53.2
"36",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Children's Minnesota","Children's MN Partners in Pediatrics Plymouth","Plymouth",55441,45,0.4,0.404,"Expected","Hennepin","Metropolitan Statistical Area",53,59,0.450817622828358,47554264,365,263,3,155,39,53.2
"37",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Children's Minnesota","Children's MN Partners in Pediatrics Rogers","Rogers",55374,64,0.4375,0.4186,"Expected","Hennepin","Metropolitan Statistical Area",53,59,0.450817622828358,47554264,365,263,3,155,39,53.2
"38",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Children's Minnesota","Children's MN Partners in Pediatrics St. Louis Park","St. Louis Park",55416,32,0.5,0.4141,"Expected","Hennepin","Metropolitan Statistical Area",53,58,0.450817622828358,47554264,365,263,3,155,39,53.2
"39",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Essentia Health","EH East Baxter Clinic","Baxter",56425,31,0.1935,0.4127,"Expected","Crow Wing","Micropolitan Statistical Area",35,45,0.935552558972957,2680904,357,305,2,222,33,28.1
"40",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Essentia Health","EH East Duluth Clinic 1st St","Duluth",55805,47,0.2553,0.359,"Expected","Saint Louis",NA,NA,47,NA,NA,365,308,2,157,35,NA
"41",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Essentia Health","EH East West Duluth Clinic","Duluth",55807,33,0.5152,0.3555,"Expected","Saint Louis",NA,NA,47,NA,NA,365,308,2,157,35,NA
"42",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Essentia Health","EH West South University Clinic","Fargo",58103,43,0.186,0.382,"Expected",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Health Services","M Health Fairview Clinic Andover","Andover",55304,46,0.4565,0.4158,"Expected","Anoka","Metropolitan Statistical Area",3,52,-0.566701776658845,16326872,365,280,2,159,39,32.3
"44",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Health Services","M Health Fairview Clinic Cottage Grove","Cottage Grove",55016,40,0.35,0.4013,"Expected","Washington","Metropolitan Statistical Area",163,60,-0.291123605964394,10461619,227,205,0,119,35,48.8
"45",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Health Services","M Health Fairview Clinic Elk River","Elk River",55330,59,0.5593,0.4212,"Expected","Sherburne","Metropolitan Statistical Area",141,57,-0.303842598457984,4589038,NA,NA,NA,NA,NA,25.8
"46",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Health Services","M Health Fairview Clinic Maplewood","Maplewood",55109,51,0.4118,0.3998,"Expected","Ramsey","Metropolitan Statistical Area",123,54,0.671280159383919,19903324,365,295,0,148,30,44.5
"47",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Health Services","M Health Fairview Clinic Tamarack","Woodbury",55125,83,0.4096,0.4243,"Expected","Washington","Metropolitan Statistical Area",163,65,-0.291123605964394,10461619,227,205,0,119,35,48.8
"48",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Health Services","M Health Fairview Clinic Woodwinds","Woodbury",55125,52,0.6154,0.4144,"Above Expected","Washington","Metropolitan Statistical Area",163,65,-0.291123605964394,10461619,227,205,0,119,35,48.8
"49",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Health Services","M Health Fairview Clinic Wyoming","Wyoming",55092,31,0.3871,0.4263,"Expected","Chisago","Metropolitan Statistical Area",25,58,-0.142735360205844,2430798,NA,NA,NA,NA,NA,NA
"50",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Fairview Mesaba Clinics","Range Regional Health Services dba Fairview Mesaba Clinic - Hibbing","Hibbing",55746,35,0.5143,0.3649,"Expected","Saint Louis",NA,NA,54,NA,NA,365,308,2,157,35,NA
"51",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Glencoe Regional Health Services","Glencoe Regional Health Services - Glencoe","Glencoe",55336,42,0.4286,0.4012,"Expected","Mcleod",NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA
"52",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Grand Itasca Clinic","Grand Itasca Clinic","Grand Rapids",55744,55,0.2,0.3655,"Below Expected","Itasca","Micropolitan Statistical Area",61,48,0.710850358252866,1752381,NA,NA,NA,NA,NA,NA
"53",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Central Minnesota Clinics","HealthPartners Central Minnesota Clinics","Sartell",56377,52,0.3846,0.3837,"Expected","Stearns","Metropolitan Statistical Area",145,56,0.455057286992888,8725973,362,289,2,228,36,28
"54",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Anoka","Anoka",55303,41,0.1951,0.4039,"Expected","Anoka","Metropolitan Statistical Area",3,54,-0.566701776658845,16326872,365,280,2,159,39,32.3
"55",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Como","St. Paul",55108,43,0.6047,0.3767,"Above Expected","Ramsey","Metropolitan Statistical Area",123,51,0.671280159383919,19903324,365,295,0,148,30,44.5
"56",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Curve Crest Clinic","Stillwater",55082,104,0.4423,0.4068,"Expected","Washington","Metropolitan Statistical Area",163,54,-0.291123605964394,10461619,227,205,0,119,35,48.8
"57",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Elk River","Elk River",55330,37,0.3784,0.4054,"Expected","Sherburne","Metropolitan Statistical Area",141,57,-0.303842598457984,4589038,NA,NA,NA,NA,NA,25.8
"58",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Maplewood","Maplewood",55109,35,0.3714,0.3738,"Expected","Ramsey","Metropolitan Statistical Area",123,54,0.671280159383919,19903324,365,295,0,148,30,44.5
"59",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Regions BH Maplewood","Maplewood",55109,33,0.6061,0.4013,"Expected","Ramsey","Metropolitan Statistical Area",123,54,0.671280159383919,19903324,365,295,0,148,30,44.5
"60",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Regions BH Woodbury","Lake Elmo",55112,67,0.5522,0.399,"Expected","Ramsey","Metropolitan Statistical Area",123,52,0.671280159383919,19903324,365,295,0,148,30,44.5
"61",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - West Behav Hlth","Saint Louis Park",55416,43,0.6279,0.3836,"Above Expected","Hennepin","Metropolitan Statistical Area",53,NA,0.450817622828358,47554264,365,263,3,155,39,53.2
"62",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"HealthPartners Clinics","HealthPartners - Woodbury","Woodbury",55125,39,0.3333,0.4198,"Expected","Washington","Metropolitan Statistical Area",163,65,-0.291123605964394,10461619,227,205,0,119,35,48.8
"63",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Lake Region Healthcare","Lake Region Healthcare Clinic Services - Fergus Falls","Fergus Falls",56538,71,0.5352,0.3903,"Expected",NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA
"64",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Lakeland Mental Health Center","Lakeland Mental Health Center - Detroit Lakes","Detroit Lakes",56501,34,0.2941,0.3763,"Expected","Becker",NA,NA,45,NA,1523010,357,252,5,191,43,NA
"65",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Lakeland Mental Health Center","Lakeland Mental Health Center - Fergus Falls","Fergus Falls",56537,63,0.3492,0.3759,"Expected","Otter Tail","Micropolitan Statistical Area",111,51,1.65064258139035,2346874,NA,NA,NA,NA,NA,NA
"66",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Lakeland Mental Health Center","Lakeland Mental Health Center - Moorhead","Moorhead",56560,42,0.5,0.3566,"Expected","Clay","Metropolitan Statistical Area",27,51,-0.182305559074791,3178142,NA,NA,NA,NA,NA,46.6
"67",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mankato Clinic, Ltd.","Mankato Clinic - Children's Health Center","Mankato, MN",56001,39,0.5128,0.3864,"Expected","Blue Earth","Metropolitan Statistical Area",13,NA,0.218342704473296,2922290,NA,NA,NA,NA,NA,34.6
"68",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mankato Clinic, Ltd.","Mankato Clinic - Department of Psychiatry & Psychology","Mankato",56001,118,0.7373,0.3864,"Above Expected","Blue Earth","Metropolitan Statistical Area",13,48,0.218342704473296,2922290,NA,NA,NA,NA,NA,34.6
"69",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic","Mayo Clinic - Baldwin Building, Pediatrics","Rochester",55905,80,0.5625,0.4012,"Above Expected","Olmsted","Metropolitan Statistical Area",109,66,0.267098842365391,5437458,361,301,0,125,36,47.7
"70",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic","Mayo Clinic - Generose Building","Rochester",55905,37,0.1622,0.3793,"Below Expected","Olmsted","Metropolitan Statistical Area",109,66,0.267098842365391,5437458,361,301,0,125,36,47.7
"71",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic","Mayo Clinic - Northeast","Rochester",55906,50,0.62,0.4083,"Above Expected","Olmsted","Metropolitan Statistical Area",109,66,0.267098842365391,5437458,361,301,0,125,36,47.7
"72",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic","Mayo Clinic - Northwest","Rochester",55901,40,0.475,0.4052,"Expected","Olmsted","Metropolitan Statistical Area",109,66,0.267098842365391,5437458,361,301,0,125,36,47.7
"73",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic","Mayo Clinic - Specialty Practice","Rochester",55905,58,0.2069,0.397,"Below Expected","Olmsted","Metropolitan Statistical Area",109,66,0.267098842365391,5437458,361,301,0,125,36,47.7
"74",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Albert Lea","Albert Lea",56007,72,0.3194,0.3869,"Expected","Freeborn","Micropolitan Statistical Area",47,47,1.3086430054516,1392023,NA,NA,NA,NA,NA,NA
"75",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Austin","Austin",55912,135,0.4222,0.3882,"Expected","Mower","Micropolitan Statistical Area",99,52,0.956750879795607,1883128,NA,NA,NA,NA,NA,NA
"76",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Fairmont","Fairmont",56031,38,0.4737,0.368,"Expected","Martin","Micropolitan Statistical Area",91,40,1.72695653635189,927969,NA,NA,NA,NA,NA,NA
"77",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Faribault Campus Location","Faribault",55021,34,0.2941,0.3992,"Expected","Rice","Micropolitan Statistical Area",131,59,0.187251833933409,3097641,NA,NA,NA,NA,NA,30.6
"78",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Mankato Eastridge","Mankato",56002,46,0.2391,0.3781,"Expected",NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
"79",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Mankato Specialty Clinic","Mankato",56002,32,0.625,0.4056,"Expected",NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA
"80",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Owatonna","Owatonna",55060,119,0.2941,0.3957,"Expected","Steele","Micropolitan Statistical Area",147,69,0.932019505502515,1607324,NA,NA,NA,NA,NA,NA
"81",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Mayo Clinic Health System","Mayo Clinic Health System Red Wing","Red Wing",55066,66,0.2121,0.3994,"Below Expected","Goodhue","Micropolitan Statistical Area",49,53,1.47257668648009,1906340,216,193,0,90,39,NA
"82",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Minnesota Mental Health Clinics (Eagan, Apple Valley, Edina, Lakeville, Maplewood, Minneapolis, Woodbury)","Minnesota Mental Health Clinics - Eagan Clinic","Eagan",55123,254,0.3228,0.3835,"Expected","Dakota","Metropolitan Statistical Area",37,63,-0.279111224164893,17626295,365,303,2,155,30,43.6
"83",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Minnesota Mental Health Clinics (Eagan, Apple Valley, Edina, Lakeville, Maplewood, Minneapolis, Woodbury)","Minnesota Mental Health Clinics- Lakeville Clinic","Lakeville",55044,45,0.7111,0.3969,"Above Expected","Dakota","Metropolitan Statistical Area",37,64,-0.279111224164893,17626295,365,303,2,155,30,43.6
"84",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Minnesota Mental Health Clinics (Eagan, Apple Valley, Edina, Lakeville, Maplewood, Minneapolis, Woodbury)","Minnesota Mental Health Clinics- Maplewood Clinic","Maplewood",55109,50,0.26,0.3739,"Expected","Ramsey","Metropolitan Statistical Area",123,54,0.671280159383919,19903324,365,295,0,148,30,44.5
"85",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Minnesota Mental Health Clinics (Eagan, Apple Valley, Edina, Lakeville, Maplewood, Minneapolis, Woodbury)","Minnesota Mental Health Clinics- Woodbury Clinic","Woodbury",55125,55,0.4,0.4001,"Expected","Washington","Metropolitan Statistical Area",163,65,-0.291123605964394,10461619,227,205,0,119,35,48.8
"86",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"NorthPoint Health & Wellness Center","NorthPoint Health & Wellness Center","Minneapolis",55411,86,0.2907,0.3027,"Expected","Hennepin","Metropolitan Statistical Area",53,34,0.450817622828358,47554264,365,263,3,155,39,53.2
"87",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Olmsted Medical Center","Olmsted Medical Center - Rochester Northwest","Rochester",55901,35,0.2571,0.336,"Expected","Olmsted","Metropolitan Statistical Area",109,66,0.267098842365391,5437458,361,301,0,125,36,47.7
"88",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Olmsted Medical Center","Olmsted Medical Center - Rochester Southeast","Rochester",55904,45,0.4444,0.3705,"Expected","Olmsted","Metropolitan Statistical Area",109,66,0.267098842365391,5437458,361,301,0,125,36,47.7
"89",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Brookdale","Brooklyn Center",55430,37,0.5135,0.3525,"Expected","Hennepin","Metropolitan Statistical Area",53,47,0.450817622828358,47554264,365,263,3,155,39,53.2
"90",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Burnsville","Burnsville",55337,33,0.4242,0.3982,"Expected",NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA
"91",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Chanhassen","Chanhassen",55317,64,0.5313,0.4088,"Expected","Carver","Metropolitan Statistical Area",19,51,0.0459296951157418,4071596,NA,NA,NA,NA,NA,53.1
"92",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Eagan","Eagan",55122,53,0.566,0.3988,"Expected","Dakota","Metropolitan Statistical Area",37,63,-0.279111224164893,17626295,365,303,2,155,30,43.6
"93",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Lakeville","Lakeville",55044,33,0.3939,0.414,"Expected","Dakota","Metropolitan Statistical Area",37,64,-0.279111224164893,17626295,365,303,2,155,30,43.6
"94",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Prior Lake","Prior Lake",55372,32,0.5625,0.4244,"Expected","Scott","Metropolitan Statistical Area",139,57,-0.499573760720454,6622973,351,291,0,98,37,45.3
"95",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Psychiatry","St. Louis Park",55416,278,0.6727,0.411,"Above Expected","Hennepin","Metropolitan Statistical Area",53,58,0.450817622828358,47554264,365,263,3,155,39,53.2
"96",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Park Nicollet Health Services","Park Nicollet Clinic - Shakopee","Shakopee",55379,111,0.5676,0.4122,"Above Expected","Scott","Metropolitan Statistical Area",139,54,-0.499573760720454,6622973,351,291,0,98,37,45.3
"97",2019,"PHQ-9 Follow-up Rate at 12 Months Adol",0.389,"Sanford Health","Sanford Bemidji Main Clinic - Family Medicine","Bemidji",56601,47,0.3404,0.351,"Expected","Beltrami","Micropolitan Statistical Area",7,44,0.179479116298437,1747471,341,298,3,259,22,NA
