"Homeownership rate"
"By county, Minnesota, 1990-2021"
""
"","1990","2000","2007-2011","2012-2016","2017-2021"
"Homeownership rate, Margin of Error","","","+/- 0.8%","+/- 1.0%","+/- 1.1%"
"Total number of owner households","12,328","13,988","16,063","15,791","16,737"
"Total number of owner households, Margin of Error","","","+/- 314","+/- 316","+/- 397"
"Total number of occupied households","19,277","21,062","24,045","25,081","26,630"
"Total number of occupied households, Margin of Error","","","+/- 363","+/- 328","+/- 417"
"Brown"
"Homeownership rate","77.3%","80.0%","78.6%","78.8%","77.9%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 0.9%","+/- 1.7%"
"Total number of owner households","7,979","8,476","8,536","8,389","8,394"
"Total number of owner households, Margin of Error","","","+/- 227","+/- 206","+/- 269"
"Total number of occupied households","10,321","10,598","10,861","10,641","10,773"
"Total number of occupied households, Margin of Error","","","+/- 170","+/- 228","+/- 252"
"Carlton"
"Homeownership rate","81.1%","82.1%","80.2%","78.9%","79.6%"
"Homeownership rate, Margin of Error","","","+/- 0.7%","+/- 1.5%","+/- 1.3%"
"Total number of owner households","8,798","9,909","11,090","10,491","10,814"
"Total number of owner households, Margin of Error","","","+/- 250","+/- 292","+/- 343"
"Total number of occupied households","10,842","12,064","13,820","13,289","13,587"
"Total number of occupied households, Margin of Error","","","+/- 290","+/- 266","+/- 372"
"Carver"
"Homeownership rate","79.0%","83.5%","83.0%","79.8%","82.7%"
"Homeownership rate, Margin of Error","","","+/- 0.7%","+/- 1.1%","+/- 1.3%"
"Total number of owner households","13,117","20,332","27,164","27,913","31,595"
"Total number of owner households, Margin of Error","","","+/- 377","+/- 449","+/- 550"
"Total number of occupied households","16,601","24,356","32,715","34,990","38,213"
"Total number of occupied households, Margin of Error","","","+/- 362","+/- 275","+/- 323"
"Cass"
"Homeownership rate","82.9%","85.9%","82.3%","80.7%","83.8%"
"Homeownership rate, Margin of Error","","","+/- 5.6%","+/- 5.7%","+/- 0.1%"
"Total number of owner households","6,882","9,358","10,650","10,334","10,412"
"Total number of owner households, Margin of Error","","","+/- 478","+/- 487","+/- 205"
"Total number of occupied households","8,302","10,893","12,943","12,806","12,431"
"Total number of occupied households, Margin of Error","","","+/- 668","+/- 676","+/- 244"
"Chippewa"
"Homeownership rate","75.4%","76.6%","73.7%","71.3%","69.0%"
"Homeownership rate, Margin of Error","","","+/- 2.3%","+/- 2.6%","+/- 3.0%"
"Total number of owner households","3,955","4,106","3,848","3,561","3,617"
"Total number of owner households, Margin of Error","","","+/- 152","+/- 189","+/- 178"
"Total number of occupied households","5,245","5,361","5,223","4,997","5,240"
"Total number of occupied households, Margin of Error","","","+/- 128","+/- 190","+/- 126"
"Chisago"
"Homeownership rate","85.0%","87.1%","85.9%","85.1%","86.3%"
"Homeownership rate, Margin of Error","","","+/- 1.3%","+/- 1.1%","+/- 1.1%"
"Total number of owner households","8,964","12,587","16,781","16,832","17,747"
"Total number of owner households, Margin of Error","","","+/- 396","+/- 310","+/- 320"
"Total number of occupied households","10,551","14,454","19,540","19,790","20,565"
"Total number of occupied households, Margin of Error","","","+/- 359","+/- 262","+/- 268"
"Clay"
"Homeownership rate","68.3%","71.6%","70.8%","69.8%","66.9%"
"Homeownership rate, Margin of Error","","","+/- 1.0%","+/- 1.1%","+/- 1.3%"
"Total number of owner households","11,948","13,371","15,528","16,078","16,715"
"Total number of owner households, Margin of Error","","","+/- 333","+/- 345","+/- 395"
"Total number of occupied households","17,490","18,670","21,928","23,034","24,998"
"Total number of occupied households, Margin of Error","","","+/- 342","+/- 317","+/- 356"
"Clearwater"
"Homeownership rate","81.6%","81.6%","77.7%","78.7%","80.8%"
"Homeownership rate, Margin of Error","","","+/- 2.2%","+/- 1.3%","+/- 1.4%"
"Total number of owner households","2,500","2,718","2,863","2,702","2,597"
"Total number of owner households, Margin of Error","","","+/- 118","+/- 76","+/- 91"
"Total number of occupied households","3,064","3,330","3,684","3,435","3,215"
"Total number of occupied households, Margin of Error","","","+/- 112","+/- 79","+/- 98"
"Cook"
"Homeownership rate","76.6%","78.3%","72.5%","74.0%","79.5%"
"Homeownership rate, Margin of Error","","","+/- 0.6%","+/- 12.5%","+/- 6.9%"
"Total number of owner households","1,250","1,839","1,905","1,968","1,987"
"Total number of owner households, Margin of Error","","","+/- 133","+/- 136","+/- 112"
"Total number of occupied households","1,632","2,350","2,627","2,661","2,499"
"Total number of occupied households, Margin of Error","","","+/- 182","+/- 412","+/- 166"
"Cottonwood"
"Homeownership rate","77.6%","80.4%","79.6%","78.3%","77.8%"
"Homeownership rate, Margin of Error","","","+/- 1.5%","+/- 1.2%","+/- 2.8%"
"Total number of owner households","3,925","3,955","3,871","3,778","3,630"
"Total number of owner households, Margin of Error","","","+/- 133","+/- 116","+/- 162"
"Total number of occupied households","5,060","4,917","4,861","4,822","4,666"
"Total number of occupied households, Margin of Error","","","+/- 141","+/- 128","+/- 127"
"Crow Wing"
"Homeownership rate","76.7%","79.7%","76.5%","75.2%","76.6%"
"Homeownership rate, Margin of Error","","","+/- 0.9%","+/- 1.1%","+/- 1.2%"
"Total number of owner households","13,188","17,732","20,581","19,841","21,096"
"Total number of owner households, Margin of Error","","","+/- 395","+/- 421","+/- 459"
"Total number of occupied households","17,204","22,250","26,906","26,398","27,539"
"Total number of occupied households, Margin of Error","","","+/- 397","+/- 395","+/- 412"
"Dakota"
"Homeownership rate","73.9%","78.2%","78.0%","74.3%","75.7%"
"Homeownership rate, Margin of Error","","","+/- 0.5%","+/- 0.5%","+/- 0.7%"
"Total number of owner households","72,598","102,549","118,286","117,132","126,340"
"Total number of owner households, Margin of Error","","","+/- 885","+/- 968","+/- 1,209"
"Total number of occupied households","98,293","131,151","151,719","157,696","166,790"
"Total number of occupied households, Margin of Error","","","+/- 694","+/- 685","+/- 601"
"Dodge"
"Homeownership rate","80.9%","84.0%","86.9%","83.1%","86.2%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 1.4%","+/- 2.0%"
"Total number of owner households","4,482","5,396","6,381","6,299","6,655"
"Total number of owner households, Margin of Error","","","+/- 180","+/- 154","+/- 201"
"Total number of occupied households","5,538","6,420","7,347","7,583","7,722"
"Total number of occupied households, Margin of Error","","","+/- 146","+/- 135","+/- 152"
"Douglas"
"Homeownership rate","74.2%","77.2%","75.5%","77.0%","74.4%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 1.0%","+/- 1.6%"
"Total number of owner households","8,149","10,243","12,245","12,080","12,678"
"Total number of owner households, Margin of Error","","","+/- 284","+/- 270","+/- 351"
"Total number of occupied households","10,988","13,276","16,222","15,688","17,030"
"Total number of occupied households, Margin of Error","","","+/- 271","+/- 285","+/- 284"
"Faribault"
"Homeownership rate","78.8%","80.7%","80.3%","76.2%","78.0%"
"Homeownership rate, Margin of Error","","","+/- 1.5%","+/- 2.0%","+/- 2.3%"
"Total number of owner households","5,335","5,370","5,036","4,837","4,663"
"Total number of owner households, Margin of Error","","","+/- 169","+/- 158","+/- 186"
"Total number of occupied households","6,772","6,652","6,274","6,347","5,979"
"Total number of occupied households, Margin of Error","","","+/- 177","+/- 128","+/- 163"
"Fillmore"
"Homeownership rate","78.1%","80.9%","80.1%","78.9%","81.8%"
"Homeownership rate, Margin of Error","","","+/- 1.4%","+/- 1.7%","+/- 1.1%"
"Total number of owner households","6,109","6,653","6,816","6,737","6,881"
"Total number of owner households, Margin of Error","","","+/- 164","+/- 184","+/- 154"
"Total number of occupied households","7,822","8,228","8,507","8,540","8,414"
"Total number of occupied households, Margin of Error","","","+/- 145","+/- 144","+/- 149"
"Freeborn"
"Homeownership rate","76.7%","78.7%","79.0%","75.6%","78.6%"
"Homeownership rate, Margin of Error","","","+/- 1.3%","+/- 1.4%","+/- 1.3%"
"Total number of owner households","9,993","10,508","10,439","9,858","10,101"
"Total number of owner households, Margin of Error","","","+/- 241","+/- 234","+/- 241"
"Total number of occupied households","13,029","13,356","13,210","13,046","12,844"
"Total number of occupied households, Margin of Error","","","+/- 209","+/- 202","+/- 225"
"Goodhue"
"Homeownership rate","76.5%","79.0%","78.5%","75.6%","76.2%"
"Homeownership rate, Margin of Error","","","+/- 0.9%","+/- 1.3%","+/- 1.5%"
"Total number of owner households","11,622","13,416","14,666","14,409","14,925"
"Total number of owner households, Margin of Error","","","+/- 322","+/- 317","+/- 353"
"Total number of occupied households","15,198","16,983","18,686","19,051","19,580"
"Total number of occupied households, Margin of Error","","","+/- 351","+/- 248","+/- 239"
"Grant"
"Homeownership rate","79.5%","82.1%","77.6%","80.1%","79.1%"
"Homeownership rate, Margin of Error","","","+/- 2.3%","+/- 1.3%","+/- 2.3%"
"Total number of owner households","1,952","2,081","2,054","2,040","1,987"
"Total number of owner households, Margin of Error","","","+/- 94","+/- 76","+/- 87"
"Total number of occupied households","2,454","2,534","2,646","2,547","2,512"
"Total number of occupied households, Margin of Error","","","+/- 92","+/- 85","+/- 83"
"Hennepin"
"Homeownership rate","63.4%","66.2%","64.8%","62.2%","63.1%"
"Homeownership rate, Margin of Error","","","+/- 0.3%","+/- 0.4%","+/- 0.5%"
"Total number of owner households","265,610","301,793","308,358","307,266","330,286"
"Total number of owner households, Margin of Error","","","+/- 1,811","+/- 2,202","+/- 2,805"
"Total number of occupied households","419,060","456,129","475,737","493,832","523,528"
"Total number of occupied households, Margin of Error","","","+/- 1,688","+/- 1,594","+/- 1,640"
"Houston"
"Homeownership rate","79.6%","81.0%","81.7%","80.8%","81.4%"
"Homeownership rate, Margin of Error","","","+/- 1.1%","+/- 1.5%","+/- 2.0%"
"Total number of owner households","5,451","6,182","6,382","6,455","6,599"
"Total number of owner households, Margin of Error","","","+/- 155","+/- 180","+/- 193"
"Total number of occupied households","6,844","7,633","7,810","7,989","8,104"
"Total number of occupied households, Margin of Error","","","+/- 160","+/- 162","+/- 135"
"Hubbard"
"Homeownership rate","83.1%","83.3%","83.3%","81.6%","82.8%"
"Homeownership rate, Margin of Error","","","+/- 1.0%","+/- 1.0%","+/- 0.8%"
"Total number of owner households","4,804","6,195","7,193","7,129","7,139"
"Total number of owner households, Margin of Error","","","+/- 220","+/- 188","+/- 182"
"Total number of occupied households","5,781","7,435","8,640","8,741","8,622"
"Total number of occupied households, Margin of Error","","","+/- 241","+/- 205","+/- 202"
"Isanti"
"Homeownership rate","83.1%","85.7%","82.4%","81.3%","84.2%"
"Homeownership rate, Margin of Error","","","+/- 0.8%","+/- 1.6%","+/- 1.7%"
"Total number of owner households","7,321","9,630","11,353","11,706","12,883"
"Total number of owner households, Margin of Error","","","+/- 234","+/- 267","+/- 311"
"Total number of occupied households","8,810","11,236","13,778","14,403","15,298"
"Total number of occupied households, Margin of Error","","","+/- 252","+/- 169","+/- 193"
"Itasca"
"Homeownership rate","83.1%","83.0%","81.6%","80.2%","82.3%"
"Homeownership rate, Margin of Error","","","+/- 0.6%","+/- 1.2%","+/- 0.9%"
"Total number of owner households","12,855","14,768","15,317","15,337","14,988"
"Total number of owner households, Margin of Error","","","+/- 305","+/- 364","+/- 333"
"Total number of occupied households","15,461","17,789","18,761","19,126","18,210"
"Total number of occupied households, Margin of Error","","","+/- 351","+/- 352","+/- 353"
"Jackson"
"Homeownership rate","76.3%","79.0%","78.6%","77.6%","81.4%"
"Homeownership rate, Margin of Error","","","+/- 1.9%","+/- 1.8%","+/- 1.7%"
"Total number of owner households","3,477","3,601","3,558","3,362","3,560"
"Total number of owner households, Margin of Error","","","+/- 117","+/- 121","+/- 128"
"Total number of occupied households","4,560","4,556","4,526","4,335","4,374"
"Total number of occupied households, Margin of Error","","","+/- 98","+/- 118","+/- 129"
"Kanabec"
"Homeownership rate","82.6%","84.6%","82.5%","80.6%","84.5%"
"Homeownership rate, Margin of Error","","","+/- 1.4%","+/- 2.1%","+/- 2.0%"
"Total number of owner households","3,925","4,870","5,208","5,072","5,467"
"Total number of owner households, Margin of Error","","","+/- 150","+/- 170","+/- 169"
"Total number of occupied households","4,753","5,759","6,316","6,290","6,471"
"Total number of occupied households, Margin of Error","","","+/- 145","+/- 131","+/- 131"
"Kandiyohi"
"Homeownership rate","72.9%","75.6%","74.3%","72.6%","74.6%"
"Homeownership rate, Margin of Error","","","+/- 1.0%","+/- 1.1%","+/- 1.2%"
"Total number of owner households","10,418","12,052","12,839","12,152","12,624"
"Total number of owner households, Margin of Error","","","+/- 255","+/- 268","+/- 315"
"Total number of occupied households","14,298","15,936","17,270","16,737","16,926"
"Total number of occupied households, Margin of Error","","","+/- 248","+/- 268","+/- 330"
"Kittson"
"Homeownership rate","81.8%","82.8%","84.4%","81.6%","82.2%"
"Homeownership rate, Margin of Error","","","+/- 1.3%","+/- 2.0%","+/- 1.7%"
"Total number of owner households","1,860","1,795","1,649","1,561","1,371"
"Total number of owner households, Margin of Error","","","+/- 68","+/- 69","+/- 64"
"Total number of occupied households","2,274","2,167","1,954","1,913","1,668"
"Total number of occupied households, Margin of Error","","","+/- 75","+/- 71","+/- 70"
"Koochiching"
"Homeownership rate","77.9%","80.4%","76.0%","79.3%","81.2%"
"Homeownership rate, Margin of Error","","","+/- 2.0%","+/- 1.3%","+/- 3.1%"
"Total number of owner households","4,695","4,858","4,708","4,545","4,601"
"Total number of owner households, Margin of Error","","","+/- 186","+/- 188","+/- 240"
"Total number of occupied households","6,025","6,040","6,194","5,732","5,663"
"Total number of occupied households, Margin of Error","","","+/- 186","+/- 218","+/- 200"
"Lac qui Parle"
"Homeownership rate","78.9%","80.9%","83.2%","80.2%","84.6%"
"Homeownership rate, Margin of Error","","","+/- 1.6%","+/- 1.2%","+/- 1.6%"
"Total number of owner households","2,765","2,683","2,555","2,496","2,404"
"Total number of owner households, Margin of Error","","","+/- 94","+/- 82","+/- 90"
"Total number of occupied households","3,505","3,316","3,072","3,111","2,841"
"Total number of occupied households, Margin of Error","","","+/- 96","+/- 90","+/- 91"
"Lake"
"Homeownership rate","82.9%","84.0%","80.2%","80.6%","82.7%"
"Homeownership rate, Margin of Error","","","+/- 2.6%","+/- 1.4%","+/- 1.3%"
"Total number of owner households","3,516","3,902","4,153","4,198","4,159"
"Total number of owner households, Margin of Error","","","+/- 202","+/- 165","+/- 165"
"Total number of occupied households","4,242","4,646","5,180","5,207","5,031"
"Total number of occupied households, Margin of Error","","","+/- 186","+/- 185","+/- 184"
"Lake of the Woods"
"Homeownership rate","84.5%","85.3%","88.7%","84.4%","85.2%"
"Homeownership rate, Margin of Error","","","+/- 1.9%","+/- 1.6%","+/- 3.3%"
"Total number of owner households","1,332","1,623","1,533","1,309","1,195"
"Total number of owner households, Margin of Error","","","+/- 138","+/- 124","+/- 117"
"Total number of occupied households","1,576","1,903","1,728","1,551","1,403"
"Total number of occupied households, Margin of Error","","","+/- 151","+/- 144","+/- 126"
"Le Sueur"
"Homeownership rate","82.0%","83.3%","82.8%","81.2%","81.2%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 1.2%","+/- 1.9%"
"Total number of owner households","6,946","8,018","9,060","8,777","9,104"
"Total number of owner households, Margin of Error","","","+/- 195","+/- 186","+/- 244"
"Total number of occupied households","8,468","9,630","10,938","10,805","11,210"
"Total number of occupied households, Margin of Error","","","+/- 169","+/- 166","+/- 139"
"Lincoln"
"Homeownership rate","79.9%","80.3%","83.6%","79.3%","80.7%"
"Homeownership rate, Margin of Error","","","+/- 1.4%","+/- 1.5%","+/- 1.8%"
"Total number of owner households","2,161","2,130","2,149","1,964","1,967"
"Total number of owner households, Margin of Error","","","+/- 73","+/- 65","+/- 76"
"Total number of occupied households","2,704","2,653","2,570","2,477","2,438"
"Total number of occupied households, Margin of Error","","","+/- 76","+/- 68","+/- 77"
"Lyon"
"Homeownership rate","68.4%","68.4%","67.8%","67.7%","68.2%"
"Homeownership rate, Margin of Error","","","+/- 0.8%","+/- 1.3%","+/- 1.9%"
"Total number of owner households","6,207","6,643","6,896","6,818","6,718"
"Total number of owner households, Margin of Error","","","+/- 188","+/- 175","+/- 257"
"Total number of occupied households","9,073","9,715","10,174","10,072","9,849"
"Total number of occupied households, Margin of Error","","","+/- 251","+/- 179","+/- 255"
"Mahnomen"
"Homeownership rate","79.4%","77.2%","74.3%","71.7%","68.9%"
"Homeownership rate, Margin of Error","","","+/- 3.1%","+/- 1.8%","+/- 2.3%"
"Total number of owner households","1,433","1,521","1,491","1,418","1,283"
"Total number of owner households, Margin of Error","","","+/- 86","+/- 49","+/- 56"
"Total number of occupied households","1,805","1,969","2,007","1,977","1,863"
"Total number of occupied households, Margin of Error","","","+/- 80","+/- 48","+/- 51"
"Marshall"
"Homeownership rate","82.1%","83.6%","82.5%","81.1%","84.2%"
"Homeownership rate, Margin of Error","","","+/- 1.3%","+/- 1.4%","+/- 2.0%"
"Total number of owner households","3,443","3,427","3,394","3,238","3,114"
"Total number of owner households, Margin of Error","","","+/- 109","+/- 89","+/- 106"
"Total number of occupied households","4,194","4,101","4,116","3,991","3,698"
"Total number of occupied households, Margin of Error","","","+/- 114","+/- 85","+/- 91"
"Martin"
"Homeownership rate","74.9%","77.4%","77.1%","74.5%","74.3%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 1.8%","+/- 2.4%"
"Total number of owner households","6,837","7,014","6,895","6,536","6,495"
"Total number of owner households, Margin of Error","","","+/- 253","+/- 225","+/- 293"
"Total number of occupied households","9,129","9,067","8,943","8,777","8,739"
"Total number of occupied households, Margin of Error","","","+/- 259","+/- 210","+/- 278"
"McLeod"
"Homeownership rate","77.0%","78.2%","77.3%","77.0%","76.6%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 1.7%","+/- 1.3%"
"Total number of owner households","9,093","10,523","11,489","11,387","11,192"
"Total number of owner households, Margin of Error","","","+/- 257","+/- 288","+/- 262"
"Total number of occupied households","11,815","13,449","14,871","14,780","14,614"
"Total number of occupied households, Margin of Error","","","+/- 233","+/- 189","+/- 239"
"Meeker"
"Homeownership rate","79.6%","81.7%","81.6%","79.6%","81.6%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 1.2%","+/- 1.6%"
"Total number of owner households","6,092","7,018","7,673","7,255","7,319"
"Total number of owner households, Margin of Error","","","+/- 174","+/- 158","+/- 190"
"Total number of occupied households","7,651","8,590","9,400","9,119","8,964"
"Total number of occupied households, Margin of Error","","","+/- 158","+/- 145","+/- 152"
"Mille Lacs"
"Homeownership rate","79.7%","80.1%","76.6%","74.1%","76.1%"
"Homeownership rate, Margin of Error","","","+/- 1.8%","+/- 1.7%","+/- 2.0%"
"Total number of owner households","5,507","6,916","8,114","7,418","7,909"
"Total number of owner households, Margin of Error","","","+/- 234","+/- 222","+/- 256"
"Total number of occupied households","6,911","8,638","10,594","10,012","10,389"
"Total number of occupied households, Margin of Error","","","+/- 186","+/- 192","+/- 188"
"Morrison"
"Homeownership rate","81.8%","81.9%","79.8%","78.9%","79.0%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 1.4%","+/- 1.5%"
"Total number of owner households","8,503","9,672","10,828","10,474","10,695"
"Total number of owner households, Margin of Error","","","+/- 232","+/- 228","+/- 251"
"Total number of occupied households","10,399","11,816","13,573","13,275","13,530"
"Total number of occupied households, Margin of Error","","","+/- 207","+/- 176","+/- 180"
"Mower"
"Homeownership rate","77.3%","78.2%","73.1%","72.8%","74.6%"
"Homeownership rate, Margin of Error","","","+/- 1.5%","+/- 1.0%","+/- 1.9%"
"Total number of owner households","11,623","12,183","11,721","11,216","11,633"
"Total number of owner households, Margin of Error","","","+/- 290","+/- 263","+/- 359"
"Total number of occupied households","15,028","15,582","16,042","15,414","15,596"
"Total number of occupied households, Margin of Error","","","+/- 222","+/- 299","+/- 269"
"Murray"
"Homeownership rate","79.4%","84.2%","83.8%","80.7%","83.1%"
"Homeownership rate, Margin of Error","","","+/- 1.9%","+/- 1.4%","+/- 1.7%"
"Total number of owner households","2,982","3,135","3,281","2,998","2,857"
"Total number of owner households, Margin of Error","","","+/- 124","+/- 77","+/- 100"
"Total number of occupied households","3,758","3,722","3,914","3,715","3,440"
"Total number of occupied households, Margin of Error","","","+/- 117","+/- 72","+/- 97"
"Nicollet"
"Homeownership rate","72.9%","75.8%","73.9%","72.8%","74.8%"
"Homeownership rate, Margin of Error","","","+/- 1.3%","+/- 1.8%","+/- 1.6%"
"Total number of owner households","6,905","8,065","9,053","9,142","9,521"
"Total number of owner households, Margin of Error","","","+/- 283","+/- 289","+/- 311"
"Total number of occupied households","9,478","10,642","12,247","12,559","12,733"
"Total number of occupied households, Margin of Error","","","+/- 312","+/- 253","+/- 320"
"Nobles"
"Homeownership rate","75.4%","75.0%","72.1%","70.9%","73.5%"
"Homeownership rate, Margin of Error","","","+/- 1.8%","+/- 2.2%","+/- 2.6%"
"Total number of owner households","5,791","5,955","5,795","5,594","5,589"
"Total number of owner households, Margin of Error","","","+/- 173","+/- 202","+/- 247"
"Total number of occupied households","7,683","7,939","8,035","7,890","7,606"
"Total number of occupied households, Margin of Error","","","+/- 136","+/- 139","+/- 206"
"Norman"
"Homeownership rate","80.1%","81.0%","80.1%","81.3%","81.3%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 1.5%","+/- 2.4%"
"Total number of owner households","2,498","2,438","2,284","2,193","2,172"
"Total number of owner households, Margin of Error","","","+/- 82","+/- 74","+/- 90"
"Total number of occupied households","3,118","3,010","2,852","2,696","2,670"
"Total number of occupied households, Margin of Error","","","+/- 83","+/- 76","+/- 78"
"Olmsted"
"Homeownership rate","72.4%","75.9%","75.9%","73.8%","71.3%"
"Homeownership rate, Margin of Error","","","+/- 0.9%","+/- 0.8%","+/- 0.7%"
"Total number of owner households","29,012","36,304","42,987","43,310","46,058"
"Total number of owner households, Margin of Error","","","+/- 633","+/- 586","+/- 583"
"Total number of occupied households","40,058","47,807","56,601","58,692","64,611"
"Total number of occupied households, Margin of Error","","","+/- 510","+/- 518","+/- 545"
"Otter Tail"
"Homeownership rate","78.1%","80.0%","79.0%","78.7%","79.9%"
"Homeownership rate, Margin of Error","","","+/- 0.8%","+/- 1.1%","+/- 1.1%"
"Total number of owner households","15,235","18,143","19,411","18,847","19,850"
"Total number of owner households, Margin of Error","","","+/- 327","+/- 355","+/- 389"
"Total number of occupied households","19,510","22,671","24,560","23,962","24,838"
"Total number of occupied households, Margin of Error","","","+/- 324","+/- 291","+/- 357"
"Pennington"
"Homeownership rate","74.0%","74.4%","76.9%","73.2%","74.1%"
"Homeownership rate, Margin of Error","","","+/- 2.3%","+/- 2.1%","+/- 2.5%"
"Total number of owner households","3,828","4,113","4,478","4,334","4,435"
"Total number of owner households, Margin of Error","","","+/- 172","+/- 159","+/- 186"
"Total number of occupied households","5,173","5,525","5,825","5,923","5,987"
"Total number of occupied households, Margin of Error","","","+/- 136","+/- 133","+/- 150"
"Pine"
"Homeownership rate","82.5%","83.7%","81.2%","77.8%","83.0%"
"Homeownership rate, Margin of Error","","","+/- 0.3%","+/- 0.4%","+/- 1.5%"
"Total number of owner households","6,252","8,318","9,633","8,548","9,063"
"Total number of owner households, Margin of Error","","","+/- 215","+/- 187","+/- 285"
"Total number of occupied households","7,577","9,939","11,862","10,993","10,916"
"Total number of occupied households, Margin of Error","","","+/- 260","+/- 233","+/- 279"
"Pipestone"
"Homeownership rate","76.7%","78.0%","75.0%","75.9%","76.9%"
"Homeownership rate, Margin of Error","","","+/- 2.8%","+/- 1.7%","+/- 2.4%"
"Total number of owner households","3,129","3,173","2,948","3,036","3,044"
"Total number of owner households, Margin of Error","","","+/- 146","+/- 116","+/- 125"
"Total number of occupied households","4,078","4,069","3,929","3,998","3,957"
"Total number of occupied households, Margin of Error","","","+/- 129","+/- 123","+/- 103"
"Polk"
"Homeownership rate","74.7%","74.1%","73.4%","72.9%","70.6%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 1.2%","+/- 1.7%"
"Total number of owner households","8,950","8,949","9,137","9,191","8,726"
"Total number of owner households, Margin of Error","","","+/- 294","+/- 229","+/- 277"
"Total number of occupied households","11,984","12,070","12,442","12,608","12,363"
"Total number of occupied households, Margin of Error","","","+/- 270","+/- 238","+/- 265"
"Pope"
"Homeownership rate","78.7%","81.0%","77.7%","80.2%","81.1%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 0.7%","+/- 1.2%"
"Total number of owner households","3,254","3,654","3,747","3,862","3,966"
"Total number of owner households, Margin of Error","","","+/- 109","+/- 106","+/- 116"
"Total number of occupied households","4,135","4,513","4,823","4,815","4,892"
"Total number of occupied households, Margin of Error","","","+/- 120","+/- 126","+/- 125"
"Ramsey"
"Homeownership rate","62.2%","63.5%","61.1%","59.0%","60.1%"
"Homeownership rate, Margin of Error","","","+/- 0.4%","+/- 0.5%","+/- 0.6%"
"Total number of owner households","118,499","127,703","124,904","122,386","129,628"
"Total number of owner households, Margin of Error","","","+/- 1,123","+/- 1,075","+/- 1,461"
