"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,Fayette,(205) 932-5966,98,2,0,99,91,7,2,95,83,15,2,93,80,18,2,92,,613,183,30,01/01/2021,12/31/2021
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,Lawrence,(256) 974-2200,94,6,0,97,94,6,0,97,53,47,0,88,41,42,17,72,1;2,33,10,30,01/01/2021,12/31/2021
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,Jackson,(256) 259-4444,96,4,0,98,92,6,2,95,80,17,3,93,78,19,3,92,,1082,266,26,01/01/2021,12/31/2021
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,Geneva,(334) 684-3655,97,3,0,99,95,4,1,97,76,20,4,92,84,15,1,95,,714,154,22,01/01/2021,12/31/2021
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,Tallapoosa,(256) 329-7100,96,4,0,98,93,5,2,96,85,12,3,94,84,14,2,94,,2426,606,26,01/01/2021,12/31/2021
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,AL,36251,Clay,(256) 354-2131,98,2,0,99,96,3,1,98,90,8,2,95,88,11,1,96,,412,126,31,01/01/2021,12/31/2021
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,Calhoun,(256) 235-5121,94,5,1,96,91,7,2,94,82,15,3,92,82,15,3,93,,1762,393,23,01/01/2021,12/31/2021
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,Limestone,(256) 233-9292,98,2,0,99,93,6,1,96,90,8,2,95,88,11,1,95,,1881,447,24,01/01/2021,12/31/2021
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,Morgan,(256) 341-2000,95,5,0,97,92,7,1,95,81,16,3,92,76,21,3,91,,1728,432,25,01/01/2021,12/31/2021
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,Fayette,(205) 487-7736,97,2,1,98,94,5,1,97,83,14,3,93,85,14,1,95,,1328,224,17,01/01/2021,12/31/2021
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,Walker,(205) 387-4000,97,3,0,98,94,4,2,96,83,14,3,94,82,17,1,94,,1769,455,26,01/01/2021,12/31/2021
010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 759-7111,96,4,0,98,92,7,1,95,85,12,3,93,81,17,2,93,,7452,1582,22,01/01/2021,12/31/2021
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,Baldwin,(251) 928-2375,96,3,1,98,93,6,1,96,87,12,1,95,90,9,1,96,,2162,470,22,01/01/2021,12/31/2021
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,Talladega,(256) 761-4542,95,4,1,97,91,7,2,95,78,19,3,92,72,26,2,90,,896,163,18,01/01/2021,12/31/2021
010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,Jefferson,(205) 783-3800,95,4,1,97,92,7,1,95,83,15,2,93,74,23,3,90,,1833,456,25,01/01/2021,12/31/2021
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,Autauga,(334) 361-4267,97,3,0,99,92,7,1,96,85,13,2,94,88,12,0,96,,1155,369,33,01/01/2021,12/31/2021
010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,Mobile,(251) 435-4700,94,5,1,96,89,8,3,93,84,13,3,94,87,12,1,95,,2052,464,23,01/01/2021,12/31/2021
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,Monroe,(251) 575-3111,98,2,0,99,94,5,1,96,88,9,3,94,86,14,0,95,,650,159,25,01/01/2021,12/31/2021
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,Pike,(334) 670-5000,97,3,0,98,93,5,2,96,83,16,1,93,83,15,2,94,,1376,329,24,01/01/2021,12/31/2021
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,Baldwin,(251) 937-5521,95,4,1,97,90,8,2,94,88,9,3,95,87,11,2,95,,933,229,25,01/01/2021,12/31/2021
010139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,Jefferson,(205) 877-1000,95,4,1,97,91,7,2,94,85,11,4,92,82,16,2,93,,1732,340,20,01/01/2021,12/31/2021
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,Mobile,(251) 344-9630,94,4,2,96,91,7,2,95,82,13,5,92,82,13,5,91,,1494,330,23,01/01/2021,12/31/2021
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,Conecuh,(251) 578-2480,94,5,1,96,89,10,1,94,76,20,4,92,75,20,5,89,3,316,69,22,01/01/2021,12/31/2021
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,Montgomery,(334) 244-8330,97,3,0,98,91,7,2,95,89,9,2,95,91,8,1,96,,3372,877,26,01/01/2021,12/31/2021
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,Russell,(334) 732-3000,98,2,0,99,92,6,2,95,91,7,2,96,92,7,1,97,,1077,336,31,01/01/2021,12/31/2021
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,Escambia,(251) 368-2500,95,4,1,97,94,5,1,96,83,14,3,93,82,18,0,94,3,436,95,23,01/01/2021,12/31/2021
020001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,Anchorage,(907) 562-2211,95,5,0,98,90,9,1,95,84,12,4,93,82,15,3,92,,2292,495,22,01/01/2021,12/31/2021
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,Anchorage,(907) 729-3971,91,7,2,95,84,13,3,91,73,21,6,90,74,22,4,90,,1051,172,16,01/01/2021,12/31/2021
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,Kodiak Island,(907) 486-9592,99,1,0,100,97,2,1,98,85,15,0,94,88,12,0,96,,591,122,21,01/01/2021,12/31/2021
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,Yavapai,(928) 773-2357,98,2,0,99,89,9,2,94,84,13,3,93,75,22,3,90,,1755,537,31,01/01/2021,12/31/2021
030010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,Pima,(520) 872-3000,96,3,1,98,87,9,4,92,77,18,5,91,75,20,5,90,,1682,458,27,01/01/2021,12/31/2021
030011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,Pima,(520) 873-3000,93,6,1,96,89,9,2,93,78,17,5,91,76,20,4,90,,1803,521,29,01/01/2021,12/31/2021
030023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,Coconino,(928) 779-3366,95,4,1,97,91,8,1,95,84,13,3,94,82,17,1,93,,1597,403,25,01/01/2021,12/31/2021
030030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,Maricopa,(602) 249-0212,93,6,1,96,84,12,4,90,75,17,8,90,66,26,8,85,,1938,373,19,01/01/2021,12/31/2021
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,Navajo,(928) 537-4375,97,3,0,98,90,8,2,94,85,12,3,93,82,16,2,93,,2186,435,21,01/01/2021,12/31/2021
030083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,Maricopa,(602) 923-5609,98,2,0,99,89,9,2,93,85,13,2,93,82,16,2,93,,1893,584,31,01/01/2021,12/31/2021
030094,ABRAZO ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,Maricopa,(623) 561-1000,95,4,1,97,86,10,4,91,81,14,5,91,75,20,5,89,,2546,567,22,01/01/2021,12/31/2021
030108,THE CORE INSTITUTE SPECIALTY HOSP,6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,Maricopa,(602) 795-6020,92,6,2,95,88,11,1,93,75,18,7,89,69,25,6,87,,514,139,27,01/01/2021,12/31/2021
030110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,Maricopa,(623) 882-1970,94,5,1,97,86,11,3,91,77,18,5,91,70,27,3,88,,1870,355,19,01/01/2021,12/31/2021
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,AZ,85224,Maricopa,(480) 603-9000,98,2,0,99,91,7,2,95,93,5,2,97,93,3,4,95,,746,225,30,01/01/2021,12/31/2021
030131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,Maricopa,(602) 797-7700,97,3,0,98,90,8,2,94,92,6,2,96,91,7,2,96,,1855,803,43,01/01/2021,12/31/2021
030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,4455 SOUTH I-19 FRONTAGE ROAD,GREEN VALLEY,AZ,85614,Pima,(520) 393-4700,,,,,,,,,,,,,,,,,4,,,,,
030138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,85338,Maricopa,(623) 207-3000,98,2,0,99,93,6,1,96,96,3,1,98,94,5,1,97,,1311,332,25,01/01/2021,12/31/2021
031300,WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,AZ,85390,Maricopa,(928) 684-5421,98,2,0,99,94,5,1,96,88,11,1,96,88,11,1,96,2,428,175,41,01/01/2021,12/31/2021
031313,HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,NOGALES,AZ,85621,Santa Cruz,(520) 285-3000,94,5,1,97,95,4,1,97,85,15,0,93,70,27,3,88,3,217,38,18,01/01/2021,12/31/2021
040002,JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,Johnson,(479) 754-5454,97,2,1,98,91,6,3,94,82,15,3,92,77,20,3,91,,1489,266,18,01/01/2021,12/31/2021
040015,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,71953,Polk,(479) 394-6100,99,1,0,99,93,5,2,96,85,10,5,94,77,19,4,91,2,754,189,25,01/01/2021,12/31/2021
040016,UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,Pulaski,(501) 686-5000,,,,,,,,,,,,,,,,,4,,,,,
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,Boone,(870) 414-4000,95,4,1,97,89,8,3,93,75,21,4,91,63,34,3,86,,1387,339,24,01/01/2021,12/31/2021
040020,ST BERNARDS MEDICAL CENTER,225 E WASHIINGTON AVENUE,JONESBORO,AR,72401,Craighead,(870) 972-4100,97,3,0,98,89,7,4,92,91,9,0,96,88,10,2,95,,1788,415,23,01/01/2021,12/31/2021
040051,DREW MEMORIAL HEALTH SYSTEM,778 SCOGIN DRIVE,MONTICELLO,AR,71655,Drew,(870) 367-2411,96,3,1,98,88,9,3,93,82,13,5,92,75,22,3,90,,1368,259,19,01/01/2021,12/31/2021
040069,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,Mississippi,(870) 838-7300,,,,,,,,,,,,,,,,,4,,,,,
040071,JEFFERSON REGIONAL MEDICAL CENTER,1600 WEST 40TH AVENUE,PINE BLUFF,AR,71603,Jefferson,(870) 541-7100,96,3,1,97,88,10,2,93,80,17,3,93,79,19,2,91,,2198,337,16,01/01/2021,12/31/2021
040118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",4800 EAST JOHNSON AVENUE,JONESBORO,AR,72405,Craighead,(870) 972-7000,97,3,0,98,90,8,2,94,87,11,2,95,87,11,2,95,,2730,596,22,01/01/2021,12/31/2021
040134,"ARKANSAS HEART HOSPITAL, LLC",1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,Pulaski,(501) 219-7000,97,3,0,98,86,11,3,92,88,10,2,95,89,8,3,94,,1985,685,35,01/01/2021,12/31/2021
040156,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",2100 NORTH SEVENTH STREET,WEST MEMPHIS,AR,72301,Crittenden,(870) 394-7800,97,2,1,98,94,5,1,97,89,11,0,96,89,10,1,96,3,348,81,23,01/01/2021,12/31/2021
041328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,Chicot,(870) 265-5351,99,1,0,99,97,2,1,98,86,8,6,93,86,8,6,92,3,209,40,19,01/01/2021,12/31/2021
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,Humboldt,(707) 445-8121,96,3,1,98,89,9,2,94,82,14,4,92,77,21,2,91,,3018,620,24,01/01/2021,12/31/2021
050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,Napa,(707) 252-4411,96,3,1,98,89,9,2,94,86,11,3,94,85,13,2,94,,2095,571,28,01/01/2021,12/31/2021
050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE,LA MESA,CA,91942,San Diego,(619) 465-0711,97,3,0,98,89,8,3,93,86,12,2,94,83,15,2,93,,4783,1055,22,01/01/2021,12/31/2021
050039,ENLOE MEDICAL CENTER,1531 ESPLANADE,CHICO,CA,95926,Butte,(530) 332-7300,97,3,0,99,90,6,4,93,88,10,2,95,92,7,1,97,,7116,637,10,01/01/2021,12/31/2021
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,Riverside,(951) 845-1121,98,2,0,99,90,7,3,94,87,11,2,95,89,9,2,96,3,3446,54,13,01/01/2021,12/31/2021
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 N VERMONT AVE,LOS ANGELES,CA,90027,Los Angeles,(213) 413-3000,89,9,2,94,85,11,4,90,71,22,7,89,69,26,5,87,,2797,457,16,01/01/2021,12/31/2021
050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,Orange,(714) 633-9111,96,2,2,97,88,9,3,92,88,8,4,94,89,7,4,94,2,1374,302,26,01/01/2021,12/31/2021
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,1200 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080,San Mateo,(650) 742-3200,97,3,0,98,91,7,2,95,85,12,3,94,83,14,3,93,,2525,721,29,01/01/2021,12/31/2021
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,700 LAWRENCE EXPRESSWAY,SANTA CLARA,CA,95051,Santa Clara,(408) 236-6400,96,3,1,98,90,8,2,94,85,13,2,94,86,13,1,94,,6217,2025,33,01/01/2021,12/31/2021
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 S MAIN STREET,WALNUT CREEK,CA,94596,Contra Costa,(925) 295-4000,95,4,1,97,90,8,2,94,86,12,2,94,85,13,2,94,,5722,1651,29,01/01/2021,12/31/2021
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,975 SERENO DR,VALLEJO,CA,94589,Solano,(707) 651-1000,96,3,1,97,92,7,1,96,88,10,2,94,86,12,2,94,,3312,940,28,01/01/2021,12/31/2021
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 WEST MACARTHUR BOULEVARD,OAKLAND,CA,94611,Alameda,(510) 752-1000,96,3,1,98,91,7,2,94,83,14,3,93,82,16,2,93,,7827,2101,27,01/01/2021,12/31/2021
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,2425 GEARY BLVD,SAN FRANCISCO,CA,94115,San Francisco,(415) 833-2646,97,3,0,98,91,8,1,95,82,16,2,93,81,17,2,93,,2842,830,29,01/01/2021,12/31/2021
050077,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,San Diego,(619) 294-8111,96,4,0,98,89,8,3,93,84,12,4,93,81,16,3,92,,5948,1320,22,01/01/2021,12/31/2021
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,1300 W 7TH ST,SAN PEDRO,CA,90732,Los Angeles,(310) 832-3311,96,4,0,98,88,8,4,92,84,14,2,94,84,15,1,94,,1172,246,21,01/01/2021,12/31/2021
050090,SONOMA VALLEY HOSPITAL,347 ANDRIEUX ST,SONOMA,CA,95476,Sonoma,(707) 935-5000,97,3,0,99,90,8,2,94,86,13,1,94,85,13,2,94,,980,333,34,01/01/2021,12/31/2021
050100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,San Diego,(858) 939-3400,96,3,1,98,91,7,2,95,89,9,2,95,89,9,2,95,,9666,2288,24,01/01/2021,12/31/2021
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,1250 16TH STREET,SANTA MONICA,CA,90404,Los Angeles,(310) 319-4000,97,3,0,98,92,7,1,95,92,6,2,96,92,7,1,97,,3742,809,22,01/01/2021,12/31/2021
050118,DOCTORS HOSPITAL OF MANTECA,1205 E NORTH STREET,MANTECA,CA,95336,San Joaquin,(209) 823-3111,94,5,1,97,83,14,3,90,76,20,4,91,71,26,3,89,,1838,414,23,01/01/2021,12/31/2021
050122,DAMERON HOSPITAL,525 WEST ACACIA STREET,STOCKTON,CA,95203,San Joaquin,(209) 944-5550,95,4,1,97,86,10,4,91,79,16,5,91,76,20,4,90,,3240,657,20,01/01/2021,12/31/2021
050126,VALLEY PRESBYTERIAN HOSPITAL,15107 VANOWEN ST,VAN NUYS,CA,91406,Los Angeles,(818) 782-6600,,,,,,,,,,,,,,,,,4,,,,,
050132,SAN GABRIEL VALLEY MEDICAL CENTER,438 W LAS TUNAS DRIVE,SAN GABRIEL,CA,91776,Los Angeles,(626) 289-5454,93,6,1,96,82,13,5,88,77,17,6,91,81,15,4,92,,2693,289,14,01/01/2021,12/31/2021
050136,PETALUMA VALLEY HOSPITAL,400 N MCDOWELL BLVD,PETALUMA,CA,94954,Sonoma,(707) 778-1111,96,3,1,98,91,8,1,95,85,13,2,94,82,16,2,93,,1448,425,31,01/01/2021,12/31/2021
050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA ST,PANORAMA CITY,CA,91402,Los Angeles,(818) 375-2000,96,3,1,98,92,7,1,95,88,10,2,95,86,13,1,95,,2984,810,27,01/01/2021,12/31/2021
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,Los Angeles,(323) 783-4011,96,3,1,98,92,6,2,95,87,11,2,95,85,12,3,94,,4884,1326,27,01/01/2021,12/31/2021
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,9333 IMPERIAL HIGHWAY,DOWNEY,CA,90242,Los Angeles,(562) 461-6007,95,4,1,97,93,5,2,95,89,9,2,95,86,12,2,94,,5733,1306,23,01/01/2021,12/31/2021
050140,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,9961 SIERRA AVE,FONTANA,CA,92335,San Bernardino,(909) 427-5500,95,4,1,97,92,7,1,95,89,9,2,95,86,12,2,94,,7584,1874,25,01/01/2021,12/31/2021
050168,PROVIDENCE ST. JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,Orange,(714) 992-3000,96,3,1,98,87,10,3,92,89,10,1,95,89,9,2,96,2,1519,432,30,01/01/2021,12/31/2021
050174,PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,1165 MONTGOMERY DR,SANTA ROSA,CA,95405,Sonoma,(707) 525-5300,96,4,0,98,89,8,3,93,82,16,2,93,84,15,1,94,,2996,836,31,01/01/2021,12/31/2021
050179,EMANUEL MEDICAL CENTER,825 DELBON AVE,TURLOCK,CA,95382,Stanislaus,(209) 667-4200,93,6,1,96,85,11,4,91,69,21,10,89,65,27,8,85,2,1472,289,20,01/01/2021,12/31/2021
050180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,WALNUT CREEK,CA,94598,Contra Costa,(925) 939-3000,96,4,0,98,86,10,4,91,87,9,4,94,86,13,1,95,,828,220,27,01/01/2021,12/31/2021
050204,PALMDALE REGIONAL MEDICAL CENTER,38600 MEDICAL CENTER DRIVE,PALMDALE,CA,93552,Los Angeles,(661) 382-5000,96,4,0,98,89,9,2,93,84,14,2,94,82,16,2,93,,1189,228,19,01/01/2021,12/31/2021
050222,SHARP CHULA VISTA MEDICAL CENTER,751 MEDICAL CENTER COURT,CHULA VISTA,CA,91911,San Diego,(619) 502-5800,97,2,1,98,92,6,2,95,93,5,2,96,90,8,2,96,,3573,881,25,01/01/2021,12/31/2021
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,Orange,(949) 764-4624,98,2,0,99,90,8,2,94,92,7,1,97,94,5,1,97,,3084,851,28,01/01/2021,12/31/2021
050226,AHMC ANAHEIM REGIONAL MEDICAL CENTER,1111 W LA PALMA AVENUE,ANAHEIM,CA,92801,Orange,(714) 774-1450,93,6,1,96,86,10,4,91,81,15,4,93,82,14,4,93,,1475,333,25,01/01/2021,12/31/2021
050234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,250 PROSPECT PLACE,CORONADO,CA,92118,San Diego,(619) 435-6251,98,2,0,99,91,7,2,95,91,6,3,96,91,7,2,96,,2019,563,28,01/01/2021,12/31/2021
050235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,501 SOUTH BUENA VISTA STREET,BURBANK,CA,91505,Los Angeles,(818) 843-5111,94,5,1,96,86,10,4,91,83,14,3,93,82,16,2,93,,1986,432,22,01/01/2021,12/31/2021
050238,METHODIST HOSPITAL OF SOUTHERN CA,300 W HUNTINGTON DR,ARCADIA,CA,91006,Los Angeles,(626) 445-4441,96,4,0,98,88,9,3,93,84,14,2,94,83,15,2,93,,1399,275,20,01/01/2021,12/31/2021
