Fiscal Year,Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,MORT-30-COPD Achievement Threshold,MORT-30-COPD Benchmark,MORT-30-COPD Baseline Rate,MORT-30-COPD Performance Rate,MORT-30-COPD Achievement Points,MORT-30-COPD Improvement Points,MORT-30-COPD Measure Score,MORT-30-CABG Achievement Threshold,MORT-30-CABG Benchmark,MORT-30-CABG Baseline Rate,MORT-30-CABG Performance Rate,MORT-30-CABG Achievement Points,MORT-30-CABG Improvement Points,MORT-30-CABG Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
2023,010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,0.866548,0.885499,0.853871,0.879327,7 out of 10,8 out of 9,8 out of 10,0.881939,0.906798,0.882293,0.864813,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.799009,0.821094,Not Available,Not Available,Not Available,0.919769,0.936349,0.909718,0.902460,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.957072,0.965298,0 out of 10,3 out of 9,3 out of 10,0.027428,0.019779,0.019627,0.033355,0 out of 10,0 out of 9,0 out of 10
2023,010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,0.866548,0.885499,0.885089,0.875970,5 out of 10,0 out of 9,5 out of 10,0.881939,0.906798,0.902557,0.911467,10 out of 10,9 out of 9,10 out of 10,0.840138,0.871741,0.867640,0.863098,Not Available,Not Available,Not Available,0.919769,0.936349,0.921146,0.919956,1 out of 10,0 out of 9,1 out of 10,0.968747,0.979620,0.975909,0.977705,8 out of 10,4 out of 9,8 out of 10,0.027428,0.019779,0.034138,0.031409,0 out of 10,1 out of 9,1 out of 10
2023,010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,0.866548,0.885499,0.858402,0.878962,6 out of 10,7 out of 9,7 out of 10,0.881939,0.906798,0.875605,0.877291,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.797229,0.785705,Not Available,Not Available,Not Available,0.919769,0.936349,0.921491,0.915616,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.027205,0.024447,4 out of 10,3 out of 9,4 out of 10
2023,010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,0.866548,0.885499,0.865383,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.887787,0.890294,4 out of 10,1 out of 9,4 out of 10,0.840138,0.871741,0.849498,0.804735,Not Available,Not Available,Not Available,0.919769,0.936349,0.929279,0.930355,6 out of 10,1 out of 9,6 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.022198,0.024970,3 out of 10,0 out of 9,3 out of 10
2023,010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,0.866548,0.885499,0.870330,0.860159,0 out of 10,0 out of 9,0 out of 10,0.881939,0.906798,0.879049,0.857373,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.821237,0.775720,Not Available,Not Available,Not Available,0.919769,0.936349,0.913357,0.897879,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.981870,0.984312,10 out of 10,9 out of 9,10 out of 10,0.027428,0.019779,0.018748,0.020605,9 out of 10,0 out of 9,9 out of 10
2023,010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,0.866548,0.885499,0.851527,0.878129,6 out of 10,7 out of 9,7 out of 10,0.881939,0.906798,0.872119,0.894012,5 out of 10,6 out of 9,6 out of 10,0.840138,0.871741,0.821536,0.799647,Not Available,Not Available,Not Available,0.919769,0.936349,0.915846,0.911015,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.969664,0.966591,0 out of 10,0 out of 9,0 out of 10,0.027428,0.019779,0.041907,0.023283,5 out of 10,8 out of 9,8 out of 10
2023,010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.894796,0.894989,5 out of 10,0 out of 9,5 out of 10,0.840138,0.871741,0.843510,0.820374,Not Available,Not Available,Not Available,0.919769,0.936349,0.921000,0.915863,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
2023,010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,0.866548,0.885499,0.862844,0.874823,4 out of 10,5 out of 9,5 out of 10,0.881939,0.906798,0.896301,0.888072,3 out of 10,0 out of 9,3 out of 10,0.840138,0.871741,0.854120,0.838296,Not Available,Not Available,Not Available,0.919769,0.936349,0.922971,0.911055,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.973931,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.029308,0.024025,5 out of 10,5 out of 9,5 out of 10
2023,010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.843746,0.861003,0 out of 10,2 out of 9,2 out of 10,0.840138,0.871741,0.817412,0.794549,Not Available,Not Available,Not Available,0.919769,0.936349,0.893094,0.897806,0 out of 10,1 out of 9,1 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.021947,0.023000,6 out of 10,0 out of 9,6 out of 10
2023,010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,0.866548,0.885499,0.852986,0.847741,0 out of 10,0 out of 9,0 out of 10,0.881939,0.906798,0.859550,0.860585,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.842315,0.782906,Not Available,Not Available,Not Available,0.919769,0.936349,0.916896,0.875711,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.967855,0.948970,0 out of 10,0 out of 9,0 out of 10,0.027428,0.019779,0.033107,0.027835,0 out of 10,3 out of 9,3 out of 10
2023,010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,0.866548,0.885499,0.852812,0.877370,6 out of 10,7 out of 9,7 out of 10,0.881939,0.906798,0.889918,0.900419,7 out of 10,6 out of 9,7 out of 10,0.840138,0.871741,0.855418,0.847031,Not Available,Not Available,Not Available,0.919769,0.936349,0.925914,0.920387,1 out of 10,0 out of 9,1 out of 10,0.968747,0.979620,0.947149,0.963679,0 out of 10,5 out of 9,5 out of 10,0.027428,0.019779,0.024762,0.018565,10 out of 10,9 out of 9,10 out of 10
2023,010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.877633,0.864954,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.842219,0.829791,Not Available,Not Available,Not Available,0.919769,0.936349,0.911704,0.902302,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.026748,Not Available,Not Available,Not Available,Not Available
2023,010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,0.866548,0.885499,0.862273,0.872567,3 out of 10,4 out of 9,4 out of 10,0.881939,0.906798,0.871250,0.871660,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.808074,0.820579,Not Available,Not Available,Not Available,0.919769,0.936349,0.927346,0.910510,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.035829,Not Available,Not Available,Not Available,Not Available
2023,010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.886104,0.867324,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.843620,0.839273,Not Available,Not Available,Not Available,0.919769,0.936349,0.910787,Not Available,Not Available,Not Available,Not Available,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
2023,010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,0.866548,0.885499,0.879611,0.877352,6 out of 10,0 out of 9,6 out of 10,0.881939,0.906798,0.873845,0.884095,1 out of 10,3 out of 9,3 out of 10,0.840138,0.871741,0.816188,0.815524,Not Available,Not Available,Not Available,0.919769,0.936349,0.928287,0.913224,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.958114,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.040445,0.026630,1 out of 10,6 out of 9,6 out of 10
2023,010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.891250,0.883028,1 out of 10,0 out of 9,1 out of 10,0.840138,0.871741,0.816312,0.831491,Not Available,Not Available,Not Available,0.919769,0.936349,0.925392,0.907756,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.024712,0.019861,9 out of 10,9 out of 9,9 out of 10
2023,010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,0.866548,0.885499,0.864385,0.878878,6 out of 10,6 out of 9,6 out of 10,0.881939,0.906798,0.885139,0.897793,6 out of 10,5 out of 9,6 out of 10,0.840138,0.871741,0.853915,0.828115,Not Available,Not Available,Not Available,0.919769,0.936349,0.925697,0.909952,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.027899,0.025559,3 out of 10,2 out of 9,3 out of 10
2023,010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,0.866548,0.885499,0.855953,0.871413,3 out of 10,5 out of 9,5 out of 10,0.881939,0.906798,0.879696,0.880071,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.808206,0.800243,Not Available,Not Available,Not Available,0.919769,0.936349,0.921690,0.920461,1 out of 10,0 out of 9,1 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.027430,0.026489,2 out of 10,1 out of 9,2 out of 10
2023,010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.876549,0.863393,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.847125,0.807744,Not Available,Not Available,Not Available,0.919769,0.936349,0.922108,0.918678,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
2023,010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,0.866548,0.885499,0.873860,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.871130,0.867243,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.805380,0.787494,Not Available,Not Available,Not Available,0.919769,0.936349,0.922371,0.913920,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.023388,0.021204,8 out of 10,6 out of 9,8 out of 10
2023,010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,0.866548,0.885499,0.842236,0.874540,4 out of 10,7 out of 9,7 out of 10,0.881939,0.906798,0.837960,0.854720,0 out of 10,2 out of 9,2 out of 10,0.840138,0.871741,0.836939,0.814290,Not Available,Not Available,Not Available,0.919769,0.936349,0.928553,0.892995,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.956567,0.957918,0 out of 10,0 out of 9,0 out of 10,0.027428,0.019779,0.028558,0.020916,8 out of 10,8 out of 9,8 out of 10
2023,010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,0.866548,0.885499,0.840785,0.866982,1 out of 10,5 out of 9,5 out of 10,0.881939,0.906798,0.869384,0.861456,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.821998,0.832727,Not Available,Not Available,Not Available,0.919769,0.936349,0.900791,0.885645,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.953175,0.976065,7 out of 10,8 out of 9,8 out of 10,0.027428,0.019779,0.030503,0.021248,8 out of 10,8 out of 9,8 out of 10
2023,010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,0.866548,0.885499,0.851216,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.878431,0.880081,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.785171,0.844698,Not Available,Not Available,Not Available,0.919769,0.936349,0.923123,0.902480,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
2023,010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,0.866548,0.885499,0.875105,0.873974,4 out of 10,0 out of 9,4 out of 10,0.881939,0.906798,0.879445,0.861080,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.841226,0.795580,Not Available,Not Available,Not Available,0.919769,0.936349,0.914215,0.904700,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.960540,0.975842,6 out of 10,8 out of 9,8 out of 10,0.027428,0.019779,0.028577,0.023846,5 out of 10,5 out of 9,5 out of 10
2023,010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.871870,0.884059,1 out of 10,3 out of 9,3 out of 10,0.840138,0.871741,0.805554,0.807153,Not Available,Not Available,Not Available,0.919769,0.936349,0.928274,0.915371,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
2023,010103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,0.866548,0.885499,0.833977,0.854940,0 out of 10,4 out of 9,4 out of 10,0.881939,0.906798,0.882257,0.885789,2 out of 10,1 out of 9,2 out of 10,0.840138,0.871741,0.795439,0.840242,Not Available,Not Available,Not Available,0.919769,0.936349,0.923071,0.907913,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.955576,0.978268,8 out of 10,9 out of 9,9 out of 10,0.027428,0.019779,0.024184,0.028845,0 out of 10,0 out of 9,0 out of 10
2023,010104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,0.866548,0.885499,0.857625,0.884697,9 out of 10,9 out of 9,9 out of 10,0.881939,0.906798,0.875893,0.897804,6 out of 10,7 out of 9,7 out of 10,0.840138,0.871741,0.823284,0.817696,Not Available,Not Available,Not Available,0.919769,0.936349,0.913760,0.913550,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.957716,0.957439,0 out of 10,0 out of 9,0 out of 10,0.027428,0.019779,0.035504,0.029718,0 out of 10,3 out of 9,3 out of 10
2023,010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,0.866548,0.885499,0.865445,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.907792,0.889958,3 out of 10,0 out of 9,3 out of 10,0.840138,0.871741,0.828450,0.853926,Not Available,Not Available,Not Available,0.919769,0.936349,0.936090,0.917174,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
2023,010112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,0.866548,0.885499,Not Available,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.886090,0.864175,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.844892,0.828215,Not Available,Not Available,Not Available,0.919769,0.936349,0.914875,0.920470,1 out of 10,2 out of 9,2 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
2023,010113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,0.866548,0.885499,0.856922,0.879587,7 out of 10,7 out of 9,7 out of 10,0.881939,0.906798,0.885021,0.870039,0 out of 10,0 out of 9,0 out of 10,0.840138,0.871741,0.824939,0.789202,Not Available,Not Available,Not Available,0.919769,0.936349,0.922636,0.887604,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,0.954063,0.959841,0 out of 10,2 out of 9,2 out of 10,0.027428,0.019779,0.035190,0.029371,0 out of 10,3 out of 9,3 out of 10
2023,010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,0.866548,0.885499,0.873035,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.889280,0.889272,3 out of 10,0 out of 9,3 out of 10,0.840138,0.871741,0.815995,0.812047,Not Available,Not Available,Not Available,0.919769,0.936349,0.927037,0.915169,0 out of 10,0 out of 9,0 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,0.033653,Not Available,Not Available,Not Available,Not Available
2023,010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,0.866548,0.885499,0.852718,Not Available,Not Available,Not Available,Not Available,0.881939,0.906798,0.895259,0.892093,4 out of 10,0 out of 9,4 out of 10,0.840138,0.871741,0.835535,0.796383,Not Available,Not Available,Not Available,0.919769,0.936349,0.908773,0.918663,0 out of 10,3 out of 9,3 out of 10,0.968747,0.979620,Not Available,Not Available,Not Available,Not Available,Not Available,0.027428,0.019779,Not Available,Not Available,Not Available,Not Available,Not Available
