"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","HBIPS-2 Measure Description","HBIPS-2 Overall Rate Per 1000","HBIPS-2 Overall Num","HBIPS-2 Overall Den","HBIPS-2 Overall Footnote","HBIPS-3 Measure Description","HBIPS-3 Overall Rate Per 1000","HBIPS-3 Overall Num","HBIPS-3 Overall Den","HBIPS-3 Overall Footnote","HBIPS-5 Measure Description","HBIPS-5 %","HBIPS-5 Denominator","HBIPS-5 Footnote","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-2/-2a Measure_Desc","TOB-2 %","TOB-2 Denominator","TOB-2 Footnote","TOB-2a %","TOB-2a Denominator","TOB-2a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","TR-2 Measure Description","TR-2 %","TR-2 Denominator","TR-2 Footnote","Start Date","End Date","FUH Measure Description","FUH-30 %","FUH-30 Denominator","FUH-30 Footnote","FUH-7 %","FUH-7 Denominator","FUH-7 Footnote","FUH Measure Start Date","FUH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date","IPFQR-HCP COVID-19 Measure Description","IPFQR-HCP COVID-19 %","IPFQR-HCP COVID-19 Denominator","IPFQR-HCP COVID-19 Footnote","IPFQR-HCP COVID-19 Start Date","IPFQR-HCP COVID-19 End Date"
054089,JEWISH HOME & REHAB CENTER,302  SILVER AVENUE,SAN FRANCISCO,CA,94112,SAN FRANCISCO,Hours of physical-restraint use,0.00,0,3852,,Hours of seclusion use,0.13,12,3852,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,11,,Screening for metabolic disorders (SMD),94,176,,Alcohol use brief intervention provided or offered,100,20,,85,20,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,20,,100,20,,Tobacco use treatment provided or offered,100,21,,100,21,,Tobacco use treatment provided or offered at discharge,100,21,,100,21,,Transition record with specified elements received by discharged patients (TR1),100,212,,Timely transmission of transition record (TR2),97,212,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,65.7,70,,32.9,70,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),100,114,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054093,LOMA LINDA UNIVERSITY BEHAVIORAL MED CTR,1710 BARTON ROAD,REDLANDS,CA,92373,SAN BERNARDINO,Hours of physical-restraint use,0.08,37.42,19219,,Hours of seclusion use,0.05,24.95,19219,,Patients discharged on multiple antipsychotic medications with appropriate justification,83,90,,Screening for metabolic disorders (SMD),97,266,,Alcohol use brief intervention provided or offered,92,48,,98,45,,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered,100,90,,84,90,,Tobacco use treatment provided or offered at discharge,77,82,,1,82,,Transition record with specified elements received by discharged patients (TR1),87,621,,Timely transmission of transition record (TR2),54,621,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58.6,58,,34.5,58,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),97,301,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054095,AURORA SAN DIEGO,11878 AVENUE OF INDUSTRY,SAN DIEGO,CA,92128,SAN DIEGO,Hours of physical-restraint use,0.01,10.11,29358,,Hours of seclusion use,0.05,34.57,29358,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),95,101,,Alcohol use brief intervention provided or offered,79,232,,11,219,,Alcohol and other drug use disorder treatment provided or offered at discharge,46,206,,3,206,,Tobacco use treatment provided or offered,79,232,,11,219,,Tobacco use treatment provided or offered at discharge,46,206,,3,206,,Transition record with specified elements received by discharged patients (TR1),72,727,,Timely transmission of transition record (TR2),35,727,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,38,,31.6,38,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,83.8,80,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),88,354,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054096,SUTTER CENTER FOR PSYCHIATRY,7700 FOLSOM BLVD,SACRAMENTO,CA,95826,SACRAMENTO,Hours of physical-restraint use,0.03,16.34,21243,,Hours of seclusion use,0.03,12.93,21243,,Patients discharged on multiple antipsychotic medications with appropriate justification,83,35,,Screening for metabolic disorders (SMD),87,301,,Alcohol use brief intervention provided or offered,67,99,,70,89,,Alcohol and other drug use disorder treatment provided or offered at discharge,39,131,,37,131,,Tobacco use treatment provided or offered,47,175,,43,149,,Tobacco use treatment provided or offered at discharge,74,133,,17,133,,Transition record with specified elements received by discharged patients (TR1),67,627,,Timely transmission of transition record (TR2),66,627,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58.5,135,,37,135,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,74.7,190,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),96,310,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054104,HERITAGE OAKS HOSPITAL,4250 AUBURN BLVD,SACRAMENTO,CA,95841,SACRAMENTO,Hours of physical-restraint use,0.03,29.62,40480,,Hours of seclusion use,0.48,465.98,40480,,Patients discharged on multiple antipsychotic medications with appropriate justification,58,95,,Screening for metabolic disorders (SMD),94,613,,Alcohol use brief intervention provided or offered,97,71,,47,70,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,273,,0,273,,Tobacco use treatment provided or offered,100,318,,1,318,,Tobacco use treatment provided or offered at discharge,99,286,,0,286,,Transition record with specified elements received by discharged patients (TR1),76,836,,Timely transmission of transition record (TR2),76,836,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.7,343,,19,343,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,75,640,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),15,382,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054110,BHC FREMONT HOSPITAL INC,39001 SUNDALE DRIVE,FREMONT,CA,94538,ALAMEDA,Hours of physical-restraint use,0.04,41.1,40235,,Hours of seclusion use,0.09,82.47,40235,,Patients discharged on multiple antipsychotic medications with appropriate justification,72,101,,Screening for metabolic disorders (SMD),97,469,,Alcohol use brief intervention provided or offered,83,42,,63,41,,Alcohol and other drug use disorder treatment provided or offered at discharge,64,188,,44,188,,Tobacco use treatment provided or offered,77,132,,69,130,,Tobacco use treatment provided or offered at discharge,64,123,,23,123,,Transition record with specified elements received by discharged patients (TR1),95,1068,,Timely transmission of transition record (TR2),95,1068,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,40.2,244,,21.3,244,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,73,392,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),95,511,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054111,CANYON RIDGE HOSPITAL,5353 G STREET,CHINO,CA,91710,SAN BERNARDINO,Hours of physical-restraint use,0.02,20.72,42679,,Hours of seclusion use,0.00,0.23,42679,,Patients discharged on multiple antipsychotic medications with appropriate justification,98,50,,Screening for metabolic disorders (SMD),100,552,,Alcohol use brief intervention provided or offered,99,86,,99,85,,Alcohol and other drug use disorder treatment provided or offered at discharge,95,230,,93,230,,Tobacco use treatment provided or offered,100,200,,42,200,,Tobacco use treatment provided or offered at discharge,98,179,,42,179,,Transition record with specified elements received by discharged patients (TR1),100,1222,,Timely transmission of transition record (TR2),100,1222,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.3,276,,22.5,276,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,69.9,495,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),99,618,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054122,DEPT OF STATE HOSPITALS - NAPA,2100 NAPA VALLEJO HIGHWAY,NAPA,CA,94558,NAPA,Hours of physical-restraint use,3.86,1431.12,15464,,Hours of seclusion use,1.39,515.47,15464,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),Not Available,Not Available,1,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),Not Available,Not Available,1,Timely transmission of transition record (TR2),Not Available,Not Available,1,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,7,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054123,ST JOSEPH'S BEHAVIORAL HEALTH CENTER,2510 N  CALIFORNIA ST,STOCKTON,CA,95204,SAN JOAQUIN,Hours of physical-restraint use,0.24,64.15,10937,,Hours of seclusion use,0.59,154.55,10937,,Patients discharged on multiple antipsychotic medications with appropriate justification,74,19,,Screening for metabolic disorders (SMD),98,203,,Alcohol use brief intervention provided or offered,49,49,,56,41,,Alcohol and other drug use disorder treatment provided or offered at discharge,75,144,,61,144,,Tobacco use treatment provided or offered,83,199,,70,199,,Tobacco use treatment provided or offered at discharge,75,186,,0,186,,Transition record with specified elements received by discharged patients (TR1),12,625,,Timely transmission of transition record (TR2),7,625,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,29.7,320,,15,320,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,63.8,594,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),93,311,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054124,SEMPERVIRENS,720 WOOD ST,EUREKA,CA,95501,HUMBOLDT,Hours of physical-restraint use,0.51,43,3504,,Hours of seclusion use,1.12,94,3504,,Patients discharged on multiple antipsychotic medications with appropriate justification,0,23,,Screening for metabolic disorders (SMD),1,209,,Alcohol use brief intervention provided or offered,73,11,,73,11,,Alcohol and other drug use disorder treatment provided or offered at discharge,15,117,,15,117,,Tobacco use treatment provided or offered,0,129,,0,131,,Tobacco use treatment provided or offered at discharge,0,129,,0,129,,Transition record with specified elements received by discharged patients (TR1),0,211,,Timely transmission of transition record (TR2),0,211,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,60.5,86,,26.7,86,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,77.6,98,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),0,162,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054125,SANTA BARBARA COUNTY PSYCHIATRIC HEALTH FACILITY,315 CAMINO DEL REMEDIO,SANTA BARBARA,CA,93110,SANTA BARBARA,Hours of physical-restraint use,0.28,33.27,4957,,Hours of seclusion use,0.22,26.38,4957,,Patients discharged on multiple antipsychotic medications with appropriate justification,64,22,,Screening for metabolic disorders (SMD),100,347,,Alcohol use brief intervention provided or offered,100,30,,100,30,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,30,,83,30,,Tobacco use treatment provided or offered,68,186,,67,186,,Tobacco use treatment provided or offered at discharge,95,186,,95,186,,Transition record with specified elements received by discharged patients (TR1),97,463,,Timely transmission of transition record (TR2),97,463,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,16.7,18,,0,18,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),0,207,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054130,PACIFIC GROVE HOSPITAL,5900 BROCKTON AVE,RIVERSIDE,CA,92506,RIVERSIDE,Hours of physical-restraint use,0.13,142.31,46817,,Hours of seclusion use,0.00,2.93,46817,,Patients discharged on multiple antipsychotic medications with appropriate justification,91,32,,Screening for metabolic disorders (SMD),97,352,,Alcohol use brief intervention provided or offered,77,56,,76,51,,Alcohol and other drug use disorder treatment provided or offered at discharge,75,225,,59,225,,Tobacco use treatment provided or offered,95,245,,81,243,,Tobacco use treatment provided or offered at discharge,84,224,,1,224,,Transition record with specified elements received by discharged patients (TR1),79,621,,Timely transmission of transition record (TR2),76,621,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,30.3,238,,14.3,238,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,66.5,322,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),99,303,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054131,JOHN MUIR BEHAVIORAL HEALTH CENTER,2740 GRANT STREET,CONCORD,CA,94524,CONTRA COSTA,Hours of physical-restraint use,0.00,27.97,403848,,Hours of seclusion use,0.00,24.43,403848,,Patients discharged on multiple antipsychotic medications with appropriate justification,98,99,,Screening for metabolic disorders (SMD),87,1187,,Alcohol use brief intervention provided or offered,85,181,,18,173,,Alcohol and other drug use disorder treatment provided or offered at discharge,79,188,,35,188,,Tobacco use treatment provided or offered,94,315,,2,311,,Tobacco use treatment provided or offered at discharge,57,273,,1,273,,Transition record with specified elements received by discharged patients (TR1),90,2261,,Timely transmission of transition record (TR2),83,2261,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,56.4,110,,35.5,110,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,81.6,163,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),98,1221,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054133,DEPT OF STATE HOSPITALS - METROPOLITAN - PSY,11401 S NORWALK BLVD,NORWALK,CA,90650,LOS ANGELES,Hours of physical-restraint use,11.39,4242.53,15514,,Hours of seclusion use,0.00,0,15514,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),Not Available,Not Available,1,Alcohol use brief intervention provided or offered,Not Available,Not Available,1,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,7,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Transition record with specified elements received by discharged patients (TR1),0,14,,Timely transmission of transition record (TR2),0,14,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,5,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),Not Available,Not Available,7,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054135,NEWPORT BAY HOSPITAL,1501 E 16TH ST,NEWPORT BEACH,CA,92663,ORANGE,Hours of physical-restraint use,0.00,0.25,9181,,Hours of seclusion use,0.00,0.25,9181,,Patients discharged on multiple antipsychotic medications with appropriate justification,100,61,,Screening for metabolic disorders (SMD),100,543,,Alcohol use brief intervention provided or offered,100,36,,100,36,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,36,,100,36,,Tobacco use treatment provided or offered,100,80,,100,80,,Tobacco use treatment provided or offered at discharge,100,80,,100,80,,Transition record with specified elements received by discharged patients (TR1),100,505,,Timely transmission of transition record (TR2),100,505,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51.5,33,,30.3,33,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),100,286,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054144,UCSF LANGLEY PORTER PSYCHIATRIC HOSPITAL AND CLINICS,401 PARNASSUS AVENUE,SAN FRANCISCO,CA,94143,SAN FRANCISCO,Hours of physical-restraint use,0.19,30.42,6810,,Hours of seclusion use,0.20,32.22,6810,,Patients discharged on multiple antipsychotic medications with appropriate justification,95,19,,Screening for metabolic disorders (SMD),94,281,,Alcohol use brief intervention provided or offered,92,73,,53,72,,Alcohol and other drug use disorder treatment provided or offered at discharge,92,87,,90,87,,Tobacco use treatment provided or offered,54,133,,37,98,,Tobacco use treatment provided or offered at discharge,78,83,,65,83,,Transition record with specified elements received by discharged patients (TR1),85,393,,Timely transmission of transition record (TR2),85,393,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,73.5,68,,45.6,68,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,79.5,83,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),97,186,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054145,SHARP MESA VISTA HOSPITAL,7850 VISTA HILL AVENUE,SAN DIEGO,CA,92123,SAN DIEGO,Hours of physical-restraint use,0.05,47.32,37713,,Hours of seclusion use,0.11,96.47,37713,,Patients discharged on multiple antipsychotic medications with appropriate justification,77,60,,Screening for metabolic disorders (SMD),91,363,,Alcohol use brief intervention provided or offered,90,98,,89,98,,Alcohol and other drug use disorder treatment provided or offered at discharge,94,115,,93,115,,Tobacco use treatment provided or offered,89,57,,78,54,,Tobacco use treatment provided or offered at discharge,71,38,,63,38,,Transition record with specified elements received by discharged patients (TR1),76,792,,Timely transmission of transition record (TR2),49,792,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,66.5,191,,47.6,191,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,79.9,289,,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),99,335,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054146,TELECARE HERITAGE PSYCHIATRIC HEALTH FACILITY,"2633 E 27TH STREET, BUILDING B",OAKLAND,CA,94601,ALAMEDA,Hours of physical-restraint use,0.17,25.7,6257,,Hours of seclusion use,0.36,54.1,6257,,Patients discharged on multiple antipsychotic medications with appropriate justification,1,542,,Screening for metabolic disorders (SMD),4,813,,Alcohol use brief intervention provided or offered,19,889,,97,173,,Alcohol and other drug use disorder treatment provided or offered at discharge,2,46,,2,46,,Tobacco use treatment provided or offered,3,815,,46,46,,Tobacco use treatment provided or offered at discharge,0,11,,0,11,,Transition record with specified elements received by discharged patients (TR1),100,1040,,Timely transmission of transition record (TR2),100,1040,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,34.5,29,,10.3,29,,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),10,258,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
054147,JOYCE EISENBERG KEEFER MEDICAL CENTER,7150 TAMPA AVENUE,RESEDA,CA,91335,LOS ANGELES,Hours of physical-restraint use,0.00,0,2692,,Hours of seclusion use,0.00,0,2692,,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Not Available,1,Screening for metabolic disorders (SMD),98,59,,Alcohol use brief intervention provided or offered,Not Available,Not Available,7,Not Available,Not Available,7,Alcohol and other drug use disorder treatment provided or offered at discharge,Not Available,Not Available,7,Not Available,Not Available,7,Tobacco use treatment provided or offered,Not Available,Not Available,1,Not Available,Not Available,1,Tobacco use treatment provided or offered at discharge,Not Available,Not Available,1,Not Available,Not Available,1,Transition record with specified elements received by discharged patients (TR1),100,70,,Timely transmission of transition record (TR2),100,70,,01/01/2021,12/31/2021,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Not Available,5,Not Available,Not Available,5,07/01/2020,06/30/2021,Medication Continuation Following Inpatient Psychiatric Discharge,Not Available,Not Available,1,07/01/2019,06/30/2021,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Not Available,Not Available,Not Available,Not Available,Not Available,4,07/01/2019,06/30/2021,Influenza immunization (IPFQR-IMM-2),73,26,,10/01/2021,03/31/2022,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),Not Available,Not Available,4,01/01/2022,03/31/2022
