"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.384,,04/01/2021,03/31/2022
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.225,,04/01/2021,03/31/2022
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.594,,04/01/2021,03/31/2022
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.781,,04/01/2021,03/31/2022
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.683,,04/01/2021,03/31/2022
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.800,,04/01/2021,03/31/2022
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.216,,04/01/2021,03/31/2022
AR,HAI_3_SIR,SSI - Colon Surgery,0.992,,04/01/2021,03/31/2022
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.507,,04/01/2021,03/31/2022
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.226,,04/01/2021,03/31/2022
AR,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.808,,04/01/2021,03/31/2022
AR,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.415,,04/01/2021,03/31/2022
AR,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.900,,04/01/2021,03/31/2022
AR,HAI_5_SIR,MRSA Bacteremia,1.644,,04/01/2021,03/31/2022
AR,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.307,,04/01/2021,03/31/2022
AR,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.390,,04/01/2021,03/31/2022
AR,HAI_6_SIR,Clostridium Difficile (C.Diff),0.347,,04/01/2021,03/31/2022
AS,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,04/01/2021,03/31/2022
AS,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,04/01/2021,03/31/2022
AS,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,04/01/2021,03/31/2022
AS,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,04/01/2021,03/31/2022
AS,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_5_SIR,MRSA Bacteremia,Not Available,5,04/01/2021,03/31/2022
AS,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
AS,HAI_6_SIR,Clostridium Difficile (C.Diff),Not Available,5,04/01/2021,03/31/2022
AZ,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.986,,04/01/2021,03/31/2022
AZ,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.180,,04/01/2021,03/31/2022
AZ,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.080,,04/01/2021,03/31/2022
AZ,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.552,,04/01/2021,03/31/2022
AZ,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.683,,04/01/2021,03/31/2022
AZ,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.615,,04/01/2021,03/31/2022
AZ,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.581,,04/01/2021,03/31/2022
AZ,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.816,,04/01/2021,03/31/2022
AZ,HAI_3_SIR,SSI - Colon Surgery,0.691,,04/01/2021,03/31/2022
AZ,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.681,,04/01/2021,03/31/2022
AZ,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.240,,04/01/2021,03/31/2022
AZ,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.929,,04/01/2021,03/31/2022
AZ,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.867,,04/01/2021,03/31/2022
AZ,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.129,,04/01/2021,03/31/2022
AZ,HAI_5_SIR,MRSA Bacteremia,0.991,,04/01/2021,03/31/2022
AZ,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.551,,04/01/2021,03/31/2022
AZ,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.622,,04/01/2021,03/31/2022
AZ,HAI_6_SIR,Clostridium Difficile (C.Diff),0.586,,04/01/2021,03/31/2022
CA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.849,,04/01/2021,03/31/2022
CA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.935,,04/01/2021,03/31/2022
CA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.891,,04/01/2021,03/31/2022
CA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.826,,04/01/2021,03/31/2022
CA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.906,,04/01/2021,03/31/2022
CA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.865,,04/01/2021,03/31/2022
CA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.814,,04/01/2021,03/31/2022
CA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.944,,04/01/2021,03/31/2022
CA,HAI_3_SIR,SSI - Colon Surgery,0.877,,04/01/2021,03/31/2022
CA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.684,,04/01/2021,03/31/2022
CA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.957,,04/01/2021,03/31/2022
CA,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.812,,04/01/2021,03/31/2022
CA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.877,,04/01/2021,03/31/2022
CA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.006,,04/01/2021,03/31/2022
CA,HAI_5_SIR,MRSA Bacteremia,0.940,,04/01/2021,03/31/2022
CA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.521,,04/01/2021,03/31/2022
CA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.553,,04/01/2021,03/31/2022
CA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.537,,04/01/2021,03/31/2022
CO,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.830,,04/01/2021,03/31/2022
CO,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.056,,04/01/2021,03/31/2022
CO,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.938,,04/01/2021,03/31/2022
CO,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.619,,04/01/2021,03/31/2022
CO,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.796,,04/01/2021,03/31/2022
CO,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.703,,04/01/2021,03/31/2022
CO,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.784,,04/01/2021,03/31/2022
CO,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.094,,04/01/2021,03/31/2022
CO,HAI_3_SIR,SSI - Colon Surgery,0.929,,04/01/2021,03/31/2022
CO,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.929,,04/01/2021,03/31/2022
CO,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.648,,04/01/2021,03/31/2022
CO,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.250,,04/01/2021,03/31/2022
CO,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.753,,04/01/2021,03/31/2022
CO,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.074,,04/01/2021,03/31/2022
CO,HAI_5_SIR,MRSA Bacteremia,0.903,,04/01/2021,03/31/2022
CO,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.481,,04/01/2021,03/31/2022
CO,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.562,,04/01/2021,03/31/2022
CO,HAI_6_SIR,Clostridium Difficile (C.Diff),0.520,,04/01/2021,03/31/2022
CT,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.766,,04/01/2021,03/31/2022
CT,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.026,,04/01/2021,03/31/2022
CT,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.889,,04/01/2021,03/31/2022
CT,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.392,,04/01/2021,03/31/2022
CT,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.570,,04/01/2021,03/31/2022
CT,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.475,,04/01/2021,03/31/2022
CT,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.830,,04/01/2021,03/31/2022
CT,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.239,,04/01/2021,03/31/2022
CT,HAI_3_SIR,SSI - Colon Surgery,1.019,,04/01/2021,03/31/2022
CT,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.523,,04/01/2021,03/31/2022
CT,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.292,,04/01/2021,03/31/2022
CT,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.843,,04/01/2021,03/31/2022
CT,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.707,,04/01/2021,03/31/2022
CT,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.082,,04/01/2021,03/31/2022
CT,HAI_5_SIR,MRSA Bacteremia,0.879,,04/01/2021,03/31/2022
CT,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.526,,04/01/2021,03/31/2022
CT,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.622,,04/01/2021,03/31/2022
CT,HAI_6_SIR,Clostridium Difficile (C.Diff),0.572,,04/01/2021,03/31/2022
DC,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.862,,04/01/2021,03/31/2022
DC,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.296,,04/01/2021,03/31/2022
DC,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.062,,04/01/2021,03/31/2022
DC,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.389,,04/01/2021,03/31/2022
DC,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.658,,04/01/2021,03/31/2022
DC,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.510,,04/01/2021,03/31/2022
DC,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.743,,04/01/2021,03/31/2022
DC,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.474,,04/01/2021,03/31/2022
DC,HAI_3_SIR,SSI - Colon Surgery,1.062,,04/01/2021,03/31/2022
DC,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.901,,04/01/2021,03/31/2022
DC,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.826,,04/01/2021,03/31/2022
DC,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.663,,04/01/2021,03/31/2022
DC,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.635,,04/01/2021,03/31/2022
DC,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.156,,04/01/2021,03/31/2022
DC,HAI_5_SIR,MRSA Bacteremia,0.866,,04/01/2021,03/31/2022
DC,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.454,,04/01/2021,03/31/2022
DC,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.600,,04/01/2021,03/31/2022
DC,HAI_6_SIR,Clostridium Difficile (C.Diff),0.523,,04/01/2021,03/31/2022
DE,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.426,,04/01/2021,03/31/2022
DE,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.812,,04/01/2021,03/31/2022
DE,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.596,,04/01/2021,03/31/2022
DE,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.577,,04/01/2021,03/31/2022
DE,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.037,,04/01/2021,03/31/2022
DE,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.782,,04/01/2021,03/31/2022
DE,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.508,,04/01/2021,03/31/2022
DE,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.177,,04/01/2021,03/31/2022
DE,HAI_3_SIR,SSI - Colon Surgery,0.791,,04/01/2021,03/31/2022
DE,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
DE,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.726,,04/01/2021,03/31/2022
DE,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.000,,04/01/2021,03/31/2022
DE,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.500,,04/01/2021,03/31/2022
DE,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.981,,04/01/2021,03/31/2022
DE,HAI_5_SIR,MRSA Bacteremia,0.710,,04/01/2021,03/31/2022
DE,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.509,,04/01/2021,03/31/2022
DE,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.691,,04/01/2021,03/31/2022
DE,HAI_6_SIR,Clostridium Difficile (C.Diff),0.595,,04/01/2021,03/31/2022
FL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.846,,04/01/2021,03/31/2022
FL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.946,,04/01/2021,03/31/2022
FL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.895,,04/01/2021,03/31/2022
FL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.597,,04/01/2021,03/31/2022
FL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.677,,04/01/2021,03/31/2022
FL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.636,,04/01/2021,03/31/2022
FL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.691,,04/01/2021,03/31/2022
FL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.824,,04/01/2021,03/31/2022
FL,HAI_3_SIR,SSI - Colon Surgery,0.755,,04/01/2021,03/31/2022
FL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.746,,04/01/2021,03/31/2022
FL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.042,,04/01/2021,03/31/2022
FL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.885,,04/01/2021,03/31/2022
FL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.124,,04/01/2021,03/31/2022
FL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.272,,04/01/2021,03/31/2022
FL,HAI_5_SIR,MRSA Bacteremia,1.196,,04/01/2021,03/31/2022
FL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.340,,04/01/2021,03/31/2022
FL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.367,,04/01/2021,03/31/2022
FL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.353,,04/01/2021,03/31/2022
GA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.939,,04/01/2021,03/31/2022
GA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.084,,04/01/2021,03/31/2022
GA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.010,,04/01/2021,03/31/2022
GA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.695,,04/01/2021,03/31/2022
GA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.812,,04/01/2021,03/31/2022
GA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.752,,04/01/2021,03/31/2022
GA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.702,,04/01/2021,03/31/2022
GA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.907,,04/01/2021,03/31/2022
GA,HAI_3_SIR,SSI - Colon Surgery,0.800,,04/01/2021,03/31/2022
GA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.980,,04/01/2021,03/31/2022
GA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.404,,04/01/2021,03/31/2022
GA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.178,,04/01/2021,03/31/2022
GA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,1.151,,04/01/2021,03/31/2022
GA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.375,,04/01/2021,03/31/2022
GA,HAI_5_SIR,MRSA Bacteremia,1.259,,04/01/2021,03/31/2022
GA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.413,,04/01/2021,03/31/2022
GA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.462,,04/01/2021,03/31/2022
GA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.437,,04/01/2021,03/31/2022
GU,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,04/01/2021,03/31/2022
GU,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,04/01/2021,03/31/2022
GU,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,04/01/2021,03/31/2022
GU,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,04/01/2021,03/31/2022
GU,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_5_SIR,MRSA Bacteremia,Not Available,5,04/01/2021,03/31/2022
GU,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,04/01/2021,03/31/2022
GU,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,04/01/2021,03/31/2022
