"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite","PSI 90 Composite Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
ANDALUSIA HEALTH,010036,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
STRINGFELLOW CAMPUS OF NORTHEAST RMC,010038,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,0.8350,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HUNTSVILLE HOSPITAL,010039,AL,2023,N/A,5,N/A,5,N/A,N/A,1.7720,,N/A,5,1.0370,,N/A,5,0.8750,,N/A,5,0.7920,,N/A,5,1.6860,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,2023,N/A,5,N/A,5,N/A,N/A,1.6760,,N/A,5,0.2320,,N/A,5,0.0000,,N/A,5,0.0390,,N/A,5,1.6970,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MARION REGIONAL MEDICAL CENTER,010044,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
FAYETTE MEDICAL CENTER,010045,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,2023,N/A,5,N/A,5,N/A,N/A,2.1160,,N/A,5,0.1350,,N/A,5,0.0000,,N/A,5,0.5780,,N/A,5,1.9360,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MEDICAL CENTER ENTERPRISE,010049,AL,2023,N/A,5,N/A,5,N/A,N/A,4.0620,,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,0.2170,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GREENE COUNTY HOSPITAL,010051,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
FLOWERS HOSPITAL,010055,AL,2023,N/A,5,N/A,5,N/A,N/A,1.5820,,N/A,5,1.6880,,N/A,5,0.2050,,N/A,5,0.3100,,N/A,5,1.0280,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST VINCENT'S BIRMINGHAM,010056,AL,2023,N/A,5,N/A,5,N/A,N/A,0.9340,,N/A,5,1.1140,,N/A,5,0.8550,,N/A,5,0.6320,,N/A,5,0.8570,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BIBB MEDICAL CENTER,010058,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LAWRENCE MEDICAL CENTER,010059,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HIGHLANDS MEDICAL CENTER,010061,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,4.8960,,N/A,5,N/A,13,N/A,5,0.9910,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WIREGRASS MEDICAL CENTER,010062,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
RUSSELL MEDICAL CENTER,010065,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.5450,,N/A,5,N/A,13,N/A,5,3.1400,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MEDICAL CENTER BARBOUR,010069,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CLAY COUNTY HOSPITAL,010073,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,2023,N/A,5,N/A,5,N/A,N/A,0.3280,,N/A,5,1.1120,,N/A,5,0.2260,,N/A,5,1.1040,,N/A,5,1.0810,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ATHENS LIMESTONE HOSPITAL,010079,AL,2023,N/A,5,N/A,5,N/A,N/A,0.9080,,N/A,5,0.4090,,N/A,5,0.7030,,N/A,5,0.3260,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,2023,N/A,5,N/A,5,N/A,N/A,0.4860,,N/A,5,1.3060,,N/A,5,N/A,13,N/A,5,0.4470,,N/A,5,0.6880,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,010085,AL,2023,N/A,5,N/A,5,N/A,N/A,0.2180,,N/A,5,0.1010,,N/A,5,N/A,13,N/A,5,0.1730,,N/A,5,0.3770,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHWEST MEDICAL CENTER,010086,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
USA HEALTH UNIVERSITY HOSPITAL,010087,AL,2023,N/A,5,N/A,5,N/A,N/A,1.7350,,N/A,5,0.4340,,N/A,5,0.4560,,N/A,5,0.3330,,N/A,5,1.9430,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WALKER BAPTIST MEDICAL CENTER,010089,AL,2023,N/A,5,N/A,5,N/A,N/A,1.1060,,N/A,5,1.1470,,N/A,5,0.4380,,N/A,5,0.5140,,N/A,5,2.3060,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PROVIDENCE HOSPITAL,010090,AL,2023,N/A,5,N/A,5,N/A,N/A,0.6050,,N/A,5,0.5530,,N/A,5,0.7520,,N/A,5,0.6240,,N/A,5,1.3060,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GROVE HILL MEMORIAL HOSPITAL,010091,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
DCH REGIONAL MEDICAL CENTER,010092,AL,2023,N/A,5,N/A,5,N/A,N/A,1.4640,,N/A,5,0.7000,,N/A,5,0.7620,,N/A,5,0.6570,,N/A,5,0.9930,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HALE COUNTY HOSPITAL,010095,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ELMORE COMMUNITY HOSPITAL,010097,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,18,N/A,5,N/A,18,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.4620,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
THOMAS HOSPITAL,010100,AL,2023,N/A,5,N/A,5,N/A,N/A,2.1970,,N/A,5,1.3500,,N/A,5,1.9650,,N/A,5,0.2780,,N/A,5,0.9320,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.3210,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
J PAUL JONES HOSPITAL,010102,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,2023,N/A,5,N/A,5,N/A,N/A,0.4330,,N/A,5,0.4290,,N/A,5,0.2980,,N/A,5,0.1400,,N/A,5,0.8170,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GRANDVIEW MEDICAL CENTER,010104,AL,2023,N/A,5,N/A,5,N/A,N/A,0.2450,,N/A,5,0.9800,,N/A,5,0.5720,,N/A,5,0.3280,,N/A,5,0.7480,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PRATTVILLE BAPTIST HOSPITAL,010108,AL,2023,N/A,5,N/A,5,N/A,N/A,6.4360,,N/A,5,2.9020,,N/A,5,N/A,13,N/A,5,1.4370,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BULLOCK COUNTY HOSPITAL,010110,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WHITFIELD REGIONAL HOSPITAL,010112,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,2023,N/A,5,N/A,5,N/A,N/A,1.2210,,N/A,5,0.6950,,N/A,5,0.7720,,N/A,5,0.3110,,N/A,5,0.9760,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,2023,N/A,5,N/A,5,N/A,N/A,1.5910,,N/A,5,1.2020,,N/A,5,0.0000,,N/A,5,0.5440,,N/A,5,2.2420,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.4780,,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MONROE COUNTY HOSPITAL,010120,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LAKELAND COMMUNITY HOSPITAL,010125,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
TROY REGIONAL MEDICAL CENTER,010126,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
JACKSON MEDICAL CENTER,010128,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTH BALDWIN INFIRMARY,010129,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.4830,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST VINCENT'S ST CLAIR,010130,AL,2023,N/A,5,N/A,5,N/A,N/A,1.9160,,N/A,5,0.8970,,N/A,5,N/A,13,N/A,5,0.9710,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CRESTWOOD MEDICAL CENTER,010131,AL,2023,N/A,5,N/A,5,N/A,N/A,0.8720,,N/A,5,1.8470,,N/A,5,1.0620,,N/A,5,0.5640,,N/A,5,0.4490,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,2023,N/A,5,N/A,5,N/A,N/A,1.2660,,N/A,5,0.8000,,N/A,5,0.5650,,N/A,5,0.5390,,N/A,5,1.5600,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SPRINGHILL MEDICAL CENTER,010144,AL,2023,N/A,5,N/A,5,N/A,N/A,0.6310,,N/A,5,0.7410,,N/A,5,0.0000,,N/A,5,0.2070,,N/A,5,0.5310,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EVERGREEN MEDICAL CENTER,010148,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BAPTIST MEDICAL CENTER EAST,010149,AL,2023,N/A,5,N/A,5,N/A,N/A,1.9150,,N/A,5,1.6480,,N/A,5,0.3760,,N/A,5,0.4880,,N/A,5,1.1800,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,010150,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SHOALS HOSPITAL,010157,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
RUSSELLVILLE HOSPITAL,010158,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.6570,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
COOSA VALLEY MEDICAL CENTER,010164,AL,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.0000,,N/A,5,0.0000,,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,2.1260,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ATMORE COMMUNITY HOSPITAL,010169,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST VINCENT'S CHILTON,010173,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
THOMASVILLE REGIONAL MEDICAL CENTER,010174,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EAMC-LANIER,010175,AL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,2023,N/A,5,N/A,5,N/A,N/A,0.7190,,N/A,5,1.3590,,N/A,5,1.2930,,N/A,5,0.3360,,N/A,5,0.8960,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.0000,,N/A,5,0.0000,,N/A,5,0.2130,,N/A,5,4.5280,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BARTLETT REGIONAL HOSPITAL,020008,AK,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.8830,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
FAIRBANKS MEMORIAL HOSPITAL,020012,AK,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,2.5920,,N/A,5,1.2030,,N/A,5,0.2300,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ALASKA REGIONAL HOSPITAL,020017,AK,2023,N/A,5,N/A,5,N/A,N/A,0.9980,,N/A,5,1.3130,,N/A,5,1.3770,,N/A,5,0.1130,,N/A,5,1.0890,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
YUKON KUSKOKWIM DELTA REG HOSPITAL,020018,AK,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CENTRAL PENINSULA GENERAL HOSPITAL,020024,AK,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,4.9540,,N/A,5,0.2380,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ALASKA NATIVE MEDICAL CENTER,020026,AK,2023,N/A,5,N/A,5,N/A,N/A,0.8220,,N/A,5,0.2380,,N/A,5,0.5780,,N/A,5,0.3570,,N/A,5,1.4310,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,030002,AZ,2023,N/A,5,N/A,5,N/A,N/A,2.2450,,N/A,5,0.2080,,N/A,5,0.8790,,N/A,5,0.6990,,N/A,5,0.9080,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
TUCSON MEDICAL CENTER,030006,AZ,2023,N/A,5,N/A,5,N/A,N/A,1.1290,,N/A,5,1.0320,,N/A,5,0.8270,,N/A,5,0.5250,,N/A,5,0.4620,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
VERDE VALLEY MEDICAL CENTER,030007,AZ,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.0000,,N/A,5,1.5510,,N/A,5,1.0020,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST. MARY'S HOSPITAL,030010,AZ,2023,N/A,5,N/A,5,N/A,N/A,0.8150,,N/A,5,1.1480,,N/A,5,0.0000,,N/A,5,0.4800,,N/A,5,1.0930,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST JOSEPH'S HOSPITAL,030011,AZ,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.3850,,N/A,5,0.5600,,N/A,5,0.4040,,N/A,5,0.5900,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
YAVAPAI REGIONAL MEDICAL CENTER,030012,AZ,2023,N/A,5,N/A,5,N/A,N/A,1.4160,,N/A,5,1.5360,,N/A,5,0.5880,,N/A,5,1.0390,,N/A,5,1.5820,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
