"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
AR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,0,26,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,34,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,24,0,30,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_CABG,Rate of readmission for CABG,0,14,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,50,0,25,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,51,0,21,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,27,1,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),5,68,1,1,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,62,0,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
AS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,33,5,15
AZ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,43,3,20
AZ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,7,42,10,18
AZ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,51,0,8,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,21,1,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,22,0,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,52,1,8,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,41,0,15,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_CABG,Rate of readmission for CABG,0,23,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,48,0,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,54,0,20,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,43,1,15,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,72,3,4,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,59,0,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,16,107,31,146
CA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,34,182,49,60
CA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,28,156,92,54
CA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,198,0,60,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,11,90,1,111,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,5,95,2,111,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,174,14,91,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,153,0,146,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_CABG,Rate of readmission for CABG,0,79,0,43,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,3,237,1,83,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,5,256,4,60,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,194,3,80,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),16,286,15,12,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,8,268,0,54,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,9,19,2,30
CO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,14,35,2,30
CO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,20,36,2,24
CO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,59,0,9,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,36,0,31,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,35,0,31,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,6,48,0,14,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,30,0,30,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_CABG,Rate of readmission for CABG,0,13,0,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,41,0,41,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,50,1,30,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,52,1,16,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,74,6,4,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,58,0,24,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,14,3,10
CT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,22,6,3
CT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,18,10,1
CT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,27,0,0,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,18,0,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,18,1,6,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,24,1,0,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,19,0,10,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_CABG,Rate of readmission for CABG,0,8,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,28,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,27,1,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,23,1,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,23,1,1,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,29,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,2,3,3
DC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,2,6,0
DC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,3,5,0
DC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,4,0,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,4,0,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,4,0,1,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_CABG,Rate of readmission for CABG,0,1,1,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,8,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,8,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,6,0,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,8,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,5,0,1
DE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,6,1,0
DE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,5,2,0
DE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,4,1,1,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,5,0,1,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,5,0,0,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,6,1,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,7,0,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,7,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,91,38,39
FL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,106,62,12
FL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,92,81,11
FL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,139,0,29,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,47,0,91,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,44,3,91,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,11,134,6,17,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,135,0,39,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_CABG,Rate of readmission for CABG,3,64,0,10,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,4,167,1,14,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,11,162,1,12,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,3,135,1,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),40,133,4,6,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,173,0,11,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,41,10,47
GA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,63,18,43
GA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,76,25,25
