"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","Score","Sample","Footnote","Start Date","End Date"
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,12199,20,01/01/2021,12/31/2021
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,12199,20,01/01/2021,12/31/2021
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,54,233,"2, 20",01/01/2021,12/31/2021
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,83,230,"2, 20",01/01/2021,12/31/2021
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,64,258,"2, 20",01/01/2021,12/31/2021
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,38,181,"2, 20",01/01/2021,12/31/2021
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,5297,20,01/01/2021,12/31/2021
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5297,20,01/01/2021,12/31/2021
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,62,227,"2, 20",01/01/2021,12/31/2021
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,84,164,"2, 20",01/01/2021,12/31/2021
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,71,207,"2, 20",01/01/2021,12/31/2021
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,72,156,"2, 20",01/01/2021,12/31/2021
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,"7, 20",01/01/2021,12/31/2021
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,"7, 20",01/01/2021,12/31/2021
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,68,60,"2, 20",01/01/2021,12/31/2021
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,81,27,"2, 20",01/01/2021,12/31/2021
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,70,77,"2, 20",01/01/2021,12/31/2021
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,79,53,"2, 20",01/01/2021,12/31/2021
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.01,2044,20,01/01/2021,12/31/2021
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.04,2044,20,01/01/2021,12/31/2021
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,71,162,"2, 20",01/01/2021,12/31/2021
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,86,190,"2, 20",01/01/2021,12/31/2021
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,67,218,"2, 20",01/01/2021,12/31/2021
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,77,190,"2, 20",01/01/2021,12/31/2021
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,1.53,7603,20,01/01/2021,12/31/2021
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,7603,20,01/01/2021,12/31/2021
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,64,148,"2, 20",01/01/2021,12/31/2021
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,78,98,"2, 20",01/01/2021,12/31/2021
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,67,247,"2, 20",01/01/2021,12/31/2021
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,58,182,"2, 20",01/01/2021,12/31/2021
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.04,1609,20,01/01/2021,12/31/2021
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.33,1609,20,01/01/2021,12/31/2021
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,62,82,"2, 20",01/01/2021,12/31/2021
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,89,81,"2, 20",01/01/2021,12/31/2021
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,87,110,"2, 20",01/01/2021,12/31/2021
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,81,77,"2, 20",01/01/2021,12/31/2021
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.79,7892,20,01/01/2021,12/31/2021
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.02,7892,20,01/01/2021,12/31/2021
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,53,123,"2, 20",01/01/2021,12/31/2021
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,70,132,"2, 20",01/01/2021,12/31/2021
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,88,153,"2, 20",01/01/2021,12/31/2021
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,83,111,"2, 20",01/01/2021,12/31/2021
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,2652,20,01/01/2021,12/31/2021
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.57,2652,20,01/01/2021,12/31/2021
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,48,116,"2, 20",01/01/2021,12/31/2021
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,54,84,"2, 20",01/01/2021,12/31/2021
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,54,138,"2, 20",01/01/2021,12/31/2021
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,60,86,"2, 20",01/01/2021,12/31/2021
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,5918,20,01/01/2021,12/31/2021
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5918,20,01/01/2021,12/31/2021
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,79,75,"2, 20",01/01/2021,12/31/2021
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,73,92,"2, 20",01/01/2021,12/31/2021
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,84,106,"2, 20",01/01/2021,12/31/2021
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,85,89,"2, 20",01/01/2021,12/31/2021
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.05,10330,20,01/01/2021,12/31/2021
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.04,10330,20,01/01/2021,12/31/2021
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,69,144,"2, 20",01/01/2021,12/31/2021
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,85,120,"2, 20",01/01/2021,12/31/2021
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,75,162,"2, 20",01/01/2021,12/31/2021
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,96,122,"2, 20",01/01/2021,12/31/2021
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.07,5783,20,01/01/2021,12/31/2021
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,5783,20,01/01/2021,12/31/2021
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,63,150,"2, 20",01/01/2021,12/31/2021
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,69,166,"2, 20",01/01/2021,12/31/2021
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,82,183,"2, 20",01/01/2021,12/31/2021
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,84,130,"2, 20",01/01/2021,12/31/2021
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,1.29,18025,20,01/01/2021,12/31/2021
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,3.89,18025,20,01/01/2021,12/31/2021
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,36,201,"2, 20",01/01/2021,12/31/2021
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,70,188,"2, 20",01/01/2021,12/31/2021
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,60,211,"2, 20",01/01/2021,12/31/2021
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,56,134,"2, 20",01/01/2021,12/31/2021
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,"7, 20",01/01/2021,12/31/2021
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,"7, 20",01/01/2021,12/31/2021
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,41,63,"2, 20",01/01/2021,12/31/2021
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,76,49,"2, 20",01/01/2021,12/31/2021
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,TOB_2,Tobacco Use Treatment Provided or Offered,63,81,"2, 20",01/01/2021,12/31/2021
